i,lookup[i]
0,-2246.85
1,-2240.79
2,-2234.75
3,-2228.73
4,-2222.72
5,-2216.73
6,-2210.76
7,-2204.81
8,-2198.87
9,-2192.95
10,-2187.05
11,-2181.17
12,-2175.3
13,-2169.45
14,-2163.61
15,-2157.79
16,-2151.99
17,-2146.21
18,-2140.44
19,-2134.69
20,-2128.96
21,-2123.24
22,-2117.54
23,-2111.86
24,-2106.19
25,-2100.54
26,-2094.91
27,-2089.29
28,-2083.68
29,-2078.1
30,-2072.53
31,-2066.98
32,-2061.44
33,-2055.92
34,-2050.41
35,-2044.92
36,-2039.45
37,-2033.99
38,-2028.55
39,-2023.12
40,-2017.71
41,-2012.31
42,-2006.93
43,-2001.57
44,-1996.22
45,-1990.89
46,-1985.57
47,-1980.27
48,-1974.98
49,-1969.71
50,-1964.45
51,-1959.21
52,-1953.98
53,-1948.77
54,-1943.58
55,-1938.4
56,-1933.23
57,-1928.08
58,-1922.94
59,-1917.82
60,-1912.71
61,-1907.62
62,-1902.54
63,-1897.48
64,-1892.43
65,-1887.4
66,-1882.38
67,-1877.37
68,-1872.38
69,-1867.4
70,-1862.44
71,-1857.49
72,-1852.56
73,-1847.64
74,-1842.74
75,-1837.85
76,-1832.97
77,-1828.11
78,-1823.26
79,-1818.42
80,-1813.6
81,-1808.79
82,-1804
83,-1799.22
84,-1794.45
85,-1789.7
86,-1784.96
87,-1780.24
88,-1775.53
89,-1770.83
90,-1766.14
91,-1761.47
92,-1756.81
93,-1752.17
94,-1747.54
95,-1742.92
96,-1738.32
97,-1733.72
98,-1729.15
99,-1724.58
100,-1720.03
101,-1715.49
102,-1710.96
103,-1706.45
104,-1701.95
105,-1697.46
106,-1692.99
107,-1688.53
108,-1684.08
109,-1679.64
110,-1675.22
111,-1670.81
112,-1666.41
113,-1662.02
114,-1657.65
115,-1653.29
116,-1648.94
117,-1644.6
118,-1640.28
119,-1635.97
120,-1631.67
121,-1627.38
122,-1623.11
123,-1618.85
124,-1614.6
125,-1610.36
126,-1606.13
127,-1601.92
128,-1597.72
129,-1593.53
130,-1589.35
131,-1585.18
132,-1581.03
133,-1576.89
