i,lookup[i]
0,-18059.9
1,-18012.9
2,-17966
3,-17919.2
4,-17872.6
5,-17826
6,-17779.7
7,-17733.4
8,-17687.3
9,-17641.3
10,-17595.5
11,-17549.8
12,-17504.2
13,-17458.7
14,-17413.4
15,-17368.2
16,-17323.1
17,-17278.2
18,-17233.3
19,-17188.7
20,-17144.1
21,-17099.7
22,-17055.4
23,-17011.2
24,-16967.1
25,-16923.2
26,-16879.4
27,-16835.7
28,-16792.2
29,-16748.7
30,-16705.4
31,-16662.3
32,-16619.2
33,-16576.3
34,-16533.5
35,-16490.8
36,-16448.2
37,-16405.7
38,-16363.4
39,-16321.2
40,-16279.1
41,-16237.1
42,-16195.3
43,-16153.6
44,-16112
45,-16070.5
46,-16029.1
47,-15987.8
48,-15946.7
49,-15905.7
50,-15864.8
51,-15824
52,-15783.3
53,-15742.8
54,-15702.3
55,-15662
56,-15621.8
57,-15581.7
58,-15541.7
59,-15501.8
60,-15462.1
61,-15422.4
62,-15382.9
63,-15343.5
64,-15304.2
65,-15265
66,-15225.9
67,-15186.9
68,-15148
69,-15109.3
70,-15070.6
71,-15032.1
72,-14993.7
73,-14955.4
74,-14917.2
75,-14879.1
76,-14841.1
77,-14803.2
78,-14765.4
79,-14727.7
80,-14690.2
81,-14652.7
82,-14615.4
83,-14578.1
84,-14541
85,-14504
86,-14467
87,-14430.2
88,-14393.5
89,-14356.9
90,-14320.4
91,-14284
92,-14247.6
93,-14211.4
94,-14175.3
95,-14139.3
96,-14103.5
97,-14067.7
98,-14032
99,-13996.4
100,-13960.9
101,-13925.5
102,-13890.2
103,-13855
104,-13819.9
105,-13784.9
106,-13750
107,-13715.2
108,-13680.5
109,-13645.9
110,-13611.4
111,-13577
112,-13542.7
113,-13508.5
114,-13474.4
115,-13440.4
116,-13406.5
117,-13372.6
118,-13338.9
119,-13305.3
120,-13271.7
121,-13238.3
122,-13204.9
123,-13171.7
124,-13138.5
125,-13105.4
126,-13072.5
127,-13039.6
128,-13006.8
129,-12974.1
130,-12941.5
131,-12909
132,-12876.5
133,-12844.2
134,-12812
135,-12779.8
136,-12747.8
137,-12715.8
138,-12683.9
139,-12652.1
140,-12620.4
141,-12588.8
142,-12557.3
143,-12525.9
144,-12494.5
145,-12463.3
146,-12432.1
147,-12401
148,-12370
149,-12339.1
150,-12308.3
151,-12277.5
152,-12246.9
153,-12216.3
154,-12185.9
155,-12155.5
156,-12125.2
157,-12094.9
158,-12064.8
159,-12034.8
160,-12004.8
161,-11974.9
162,-11945.1
163,-11915.4
164,-11885.8
165,-11856.2
166,-11826.7
167,-11797.4
168,-11768.1
169,-11738.8
170,-11709.7
171,-11680.6
172,-11651.7
173,-11622.8
174,-11594
175,-11565.2
176,-11536.6
177,-11508
178,-11479.5
179,-11451.1
180,-11422.8
181,-11394.5
182,-11366.3
183,-11338.2
184,-11310.2
185,-11282.3
186,-11254.4
187,-11226.6
188,-11198.9
189,-11171.3
190,-11143.7
191,-11116.3
192,-11088.9
193,-11061.6
194,-11034.3
195,-11007.1
196,-10980
197,-10953
198,-10926.1
199,-10899.2
200,-10872.4
201,-10845.7
202,-10819.1
203,-10792.5
204,-10766
205,-10739.6
206,-10713.2
207,-10687
208,-10660.7
209,-10634.6
210,-10608.6
211,-10582.6
212,-10556.7
213,-10530.8
214,-10505.1
215,-10479.4
216,-10453.7
217,-10428.2
218,-10402.7
219,-10377.3
220,-10351.9
221,-10326.7
222,-10301.5
223,-10276.3
224,-10251.3
225,-10226.3
226,-10201.4
227,-10176.5
228,-10151.7
229,-10127
230,-10102.4
231,-10077.8
232,-10053.3
233,-10028.8
234,-10004.5
235,-9980.15
236,-9955.91
237,-9931.74
238,-9907.63
239,-9883.59
240,-9859.61
241,-9835.71
242,-9811.87
243,-9788.09
244,-9764.38
245,-9740.74
246,-9717.16
247,-9693.64
248,-9670.2
249,-9646.81
250,-9623.49
251,-9600.24
252,-9577.04
253,-9553.92
254,-9530.85
255,-9507.85
256,-9484.92
257,-9462.05
258,-9439.23
259,-9416.49
260,-9393.8
261,-9371.18
262,-9348.62
263,-9326.12
264,-9303.69
265,-9281.31
266,-9259
267,-9236.75
268,-9214.56
269,-9192.43
270,-9170.36
271,-9148.35
272,-9126.41
273,-9104.52
274,-9082.69
275,-9060.93
276,-9039.22
277,-9017.57
278,-8995.98
279,-8974.45
280,-8952.98
281,-8931.57
282,-8910.22
283,-8888.93
284,-8867.69
285,-8846.51
286,-8825.39
287,-8804.33
288,-8783.33
289,-8762.38
290,-8741.49
291,-8720.66
292,-8699.88
293,-8679.17
294,-8658.5
295,-8637.9
296,-8617.35
297,-8596.86
298,-8576.42
299,-8556.04
300,-8535.71
301,-8515.44
302,-8495.23
303,-8475.07
304,-8454.96
305,-8434.91
306,-8414.92
307,-8394.98
308,-8375.09
309,-8355.26
310,-8335.48
311,-8315.76
312,-8296.09
313,-8276.47
314,-8256.9
315,-8237.39
316,-8217.94
317,-8198.53
318,-8179.18
319,-8159.88
320,-8140.63
321,-8121.44
322,-8102.29
323,-8083.2
324,-8064.17
325,-8045.18
326,-8026.24
327,-8007.36
328,-7988.52
329,-7969.74
330,-7951.01
331,-7932.33
332,-7913.7
333,-7895.12
334,-7876.59
335,-7858.11
336,-7839.68
337,-7821.3
338,-7802.97
339,-7784.69
340,-7766.46
341,-7748.28
342,-7730.14
343,-7712.06
344,-7694.03
345,-7676.04
346,-7658.1
347,-7640.21
348,-7622.37
349,-7604.58
350,-7586.83
351,-7569.13
352,-7551.48
353,-7533.88
354,-7516.33
355,-7498.82
356,-7481.36
357,-7463.94
358,-7446.58
359,-7429.26
360,-7411.98
361,-7394.75
362,-7377.57
363,-7360.44
364,-7343.35
365,-7326.31
366,-7309.31
367,-7292.36
368,-7275.45
369,-7258.59
370,-7241.77
371,-7225
372,-7208.27
373,-7191.59
374,-7174.95
375,-7158.36
376,-7141.81
377,-7125.31
378,-7108.85
379,-7092.43
380,-7076.06
381,-7059.73
382,-7043.45
383,-7027.21
384,-7011.01
385,-6994.85
386,-6978.74
387,-6962.67
388,-6946.64
389,-6930.66
390,-6914.72
391,-6898.82
392,-6882.96
393,-6867.15
394,-6851.38
395,-6835.65
396,-6819.96
397,-6804.31
398,-6788.71
399,-6773.14
400,-6757.62
401,-6742.14
402,-6726.7
403,-6711.3
404,-6695.94
405,-6680.62
406,-6665.34
407,-6650.1
408,-6634.91
409,-6619.75
410,-6604.63
411,-6589.56
412,-6574.52
413,-6559.52
414,-6544.56
415,-6529.64
416,-6514.77
417,-6499.93
418,-6485.13
419,-6470.36
420,-6455.64
421,-6440.96
422,-6426.31
423,-6411.7
424,-6397.14
425,-6382.61
426,-6368.11
427,-6353.66
428,-6339.24
429,-6324.86
430,-6310.52
431,-6296.22
432,-6281.96
433,-6267.73
434,-6253.54
435,-6239.38
436,-6225.27
437,-6211.19
438,-6197.14
439,-6183.14
440,-6169.17
441,-6155.24
442,-6141.34
443,-6127.48
444,-6113.65
445,-6099.87
446,-6086.11
447,-6072.4
448,-6058.72
449,-6045.07
450,-6031.46
451,-6017.89
452,-6004.35
453,-5990.85
454,-5977.38
455,-5963.95
456,-5950.55
457,-5937.18
458,-5923.85
459,-5910.56
460,-5897.3
461,-5884.07
462,-5870.88
463,-5857.73
464,-5844.6
465,-5831.51
466,-5818.46
467,-5805.44
468,-5792.45
469,-5779.49
470,-5766.57
471,-5753.69
472,-5740.83
473,-5728.01
474,-5715.22
475,-5702.47
476,-5689.74
477,-5677.06
478,-5664.4
479,-5651.77
480,-5639.18
481,-5626.62
482,-5614.1
483,-5601.6
484,-5589.14
485,-5576.71
486,-5564.31
487,-5551.94
