i,lookup[i]
0,-47050.8
1,-46936.4
2,-46822.2
3,-46708.4
4,-46594.9
5,-46481.7
6,-46368.9
7,-46256.3
8,-46144
9,-46032.1
10,-45920.4
11,-45809.1
12,-45698
13,-45587.3
14,-45476.8
15,-45366.7
16,-45256.8
17,-45147.3
18,-45038.1
19,-44929.1
20,-44820.5
21,-44712.1
22,-44604
23,-44496.3
24,-44388.8
25,-44281.6
26,-44174.7
27,-44068.1
28,-43961.8
29,-43855.8
30,-43750.1
31,-43644.6
32,-43539.5
33,-43434.6
34,-43330
35,-43225.7
36,-43121.7
37,-43018
38,-42914.5
39,-42811.3
40,-42708.4
41,-42605.8
42,-42503.5
43,-42401.4
44,-42299.7
45,-42198.2
46,-42096.9
47,-41996
48,-41895.3
49,-41794.9
50,-41694.8
51,-41594.9
52,-41495.3
53,-41396
54,-41296.9
55,-41198.2
56,-41099.6
57,-41001.4
58,-40903.4
59,-40805.7
60,-40708.2
61,-40611
62,-40514.1
63,-40417.5
64,-40321.1
65,-40224.9
66,-40129
67,-40033.4
68,-39938.1
69,-39843
70,-39748.1
71,-39653.5
72,-39559.2
73,-39465.1
74,-39371.3
75,-39277.7
76,-39184.4
77,-39091.3
78,-38998.5
79,-38906
80,-38813.7
81,-38721.6
82,-38629.8
83,-38538.2
84,-38446.9
85,-38355.8
86,-38265
87,-38174.4
88,-38084.1
89,-37994
90,-37904.1
91,-37814.5
92,-37725.2
93,-37636
94,-37547.2
95,-37458.5
96,-37370.1
97,-37281.9
98,-37194
99,-37106.3
100,-37018.9
101,-36931.7
102,-36844.7
103,-36757.9
104,-36671.4
105,-36585.1
106,-36499.1
107,-36413.2
108,-36327.7
109,-36242.3
110,-36157.2
111,-36072.3
112,-35987.6
113,-35903.2
114,-35818.9
115,-35735
116,-35651.2
117,-35567.7
118,-35484.3
119,-35401.2
120,-35318.4
121,-35235.7
122,-35153.3
123,-35071.1
124,-34989.1
125,-34907.4
126,-34825.8
127,-34744.5
128,-34663.4
129,-34582.5
130,-34501.9
131,-34421.4
132,-34341.2
133,-34261.1
134,-34181.3
135,-34101.8
136,-34022.4
137,-33943.2
138,-33864.3
139,-33785.5
140,-33707
141,-33628.7
142,-33550.5
143,-33472.6
144,-33394.9
145,-33317.5
146,-33240.2
147,-33163.1
148,-33086.2
149,-33009.6
150,-32933.1
151,-32856.9
152,-32780.8
153,-32705
154,-32629.3
155,-32553.9
156,-32478.7
157,-32403.6
158,-32328.8
159,-32254.2
160,-32179.7
161,-32105.5
162,-32031.5
163,-31957.6
164,-31884
165,-31810.5
166,-31737.3
167,-31664.2
168,-31591.3
169,-31518.7
170,-31446.2
171,-31373.9
172,-31301.8
173,-31229.9
174,-31158.2
175,-31086.7
176,-31015.4
177,-30944.3
178,-30873.3
179,-30802.6
180,-30732
181,-30661.6
182,-30591.4
183,-30521.4
184,-30451.6
185,-30382
186,-30312.5
187,-30243.2
188,-30174.2
189,-30105.3
190,-30036.6
191,-29968
192,-29899.7
193,-29831.5
194,-29763.5
195,-29695.7
196,-29628.1
197,-29560.6
198,-29493.4
199,-29426.3
200,-29359.4
201,-29292.6
202,-29226.1
203,-29159.7
204,-29093.5
205,-29027.5
206,-28961.6
207,-28895.9
208,-28830.4
209,-28765.1
210,-28699.9
211,-28634.9
212,-28570.1
213,-28505.5
214,-28441
215,-28376.7
216,-28312.5
217,-28248.6
218,-28184.8
219,-28121.2
220,-28057.7
221,-27994.4
222,-27931.3
223,-27868.3
224,-27805.5
225,-27742.9
226,-27680.4
227,-27618.1
228,-27556
229,-27494
230,-27432.2
231,-27370.6
232,-27309.1
233,-27247.8
234,-27186.6
235,-27125.6
236,-27064.8
237,-27004.1
238,-26943.6
239,-26883.3
240,-26823.1
241,-26763
242,-26703.1
243,-26643.4
244,-26583.8
245,-26524.4
246,-26465.2
247,-26406.1
248,-26347.1
249,-26288.3
250,-26229.7
251,-26171.2
252,-26112.9
253,-26054.7
254,-25996.7
255,-25938.8
256,-25881.1
257,-25823.5
258,-25766.1
259,-25708.8
260,-25651.7
261,-25594.8
262,-25537.9
263,-25481.3
264,-25424.7
265,-25368.4
266,-25312.1
267,-25256.1
268,-25200.1
269,-25144.3
270,-25088.7
271,-25033.2
272,-24977.8
273,-24922.6
274,-24867.6
275,-24812.7
276,-24757.9
277,-24703.2
278,-24648.8
279,-24594.4
280,-24540.2
281,-24486.1
282,-24432.2
283,-24378.4
284,-24324.8
285,-24271.3
286,-24217.9
287,-24164.7
288,-24111.6
289,-24058.6
290,-24005.8
291,-23953.1
292,-23900.6
293,-23848.2
294,-23795.9
295,-23743.8
296,-23691.8
297,-23639.9
298,-23588.2
299,-23536.6
300,-23485.2
301,-23433.8
302,-23382.6
303,-23331.6
304,-23280.6
305,-23229.8
306,-23179.2
307,-23128.6
308,-23078.2
309,-23028
310,-22977.8
311,-22927.8
312,-22877.9
313,-22828.2
314,-22778.5
315,-22729
316,-22679.7
317,-22630.4
318,-22581.3
319,-22532.3
320,-22483.5
321,-22434.7
322,-22386.1
323,-22337.6
324,-22289.3
325,-22241
326,-22192.9
327,-22144.9
328,-22097.1
329,-22049.3
330,-22001.7
331,-21954.2
332,-21906.8
333,-21859.6
334,-21812.4
335,-21765.4
336,-21718.5
337,-21671.7
338,-21625.1
339,-21578.6
340,-21532.2
341,-21485.9
342,-21439.7
343,-21393.6
344,-21347.7
345,-21301.9
346,-21256.2
347,-21210.6
348,-21165.1
349,-21119.8
350,-21074.5
351,-21029.4
352,-20984.4
353,-20939.5
354,-20894.7
355,-20850.1
356,-20805.5
357,-20761.1
358,-20716.7
359,-20672.5
360,-20628.4
361,-20584.4
362,-20540.6
363,-20496.8
364,-20453.2
365,-20409.6
366,-20366.2
367,-20322.9
368,-20279.7
369,-20236.6
370,-20193.6
371,-20150.7
372,-20107.9
373,-20065.3
374,-20022.7
375,-19980.3
376,-19937.9
377,-19895.7
378,-19853.6
379,-19811.6
380,-19769.7
381,-19727.8
382,-19686.1
383,-19644.6
384,-19603.1
385,-19561.7
386,-19520.4
387,-19479.2
388,-19438.2
389,-19397.2
390,-19356.3
391,-19315.6
392,-19274.9
393,-19234.3
394,-19193.9
395,-19153.5
396,-19113.3
397,-19073.1
398,-19033.1
399,-18993.1
400,-18953.3
401,-18913.6
402,-18873.9
403,-18834.4
404,-18794.9
405,-18755.6
406,-18716.3
407,-18677.2
408,-18638.1
409,-18599.2
410,-18560.3
411,-18521.5
412,-18482.9
413,-18444.3
414,-18405.8
415,-18367.5
416,-18329.2
417,-18291
418,-18252.9
