i,lookup[i]
0,-43319.5
1,-43197.8
2,-43076.5
3,-42955.6
4,-42835.1
5,-42714.9
6,-42595.1
7,-42475.6
8,-42356.5
9,-42237.7
10,-42119.3
11,-42001.3
12,-41883.6
13,-41766.2
14,-41649.2
15,-41532.6
16,-41416.3
17,-41300.4
18,-41184.8
19,-41069.6
20,-40954.7
21,-40840.1
22,-40725.9
23,-40612
24,-40498.5
25,-40385.3
26,-40272.5
27,-40160
28,-40047.8
29,-39936
30,-39824.5
31,-39713.3
32,-39602.5
33,-39492
34,-39381.8
35,-39271.9
36,-39162.4
37,-39053.2
38,-38944.4
39,-38835.9
40,-38727.7
41,-38619.8
42,-38512.2
43,-38405
44,-38298.1
45,-38191.5
46,-38085.2
47,-37979.2
48,-37873.6
49,-37768.3
50,-37663.3
51,-37558.6
52,-37454.2
53,-37350.1
54,-37246.4
55,-37142.9
56,-37039.8
57,-36937
58,-36834.4
59,-36732.2
60,-36630.3
61,-36528.7
62,-36427.4
63,-36326.4
64,-36225.7
65,-36125.3
66,-36025.2
67,-35925.4
68,-35825.9
69,-35726.7
70,-35627.8
71,-35529.2
72,-35430.9
73,-35332.9
74,-35235.2
75,-35137.7
76,-35040.6
77,-34943.7
78,-34847.2
79,-34750.9
80,-34654.9
81,-34559.2
82,-34463.8
83,-34368.7
84,-34273.8
85,-34179.3
86,-34085
87,-33991
88,-33897.3
89,-33803.9
90,-33710.7
91,-33617.8
92,-33525.2
93,-33432.9
94,-33340.8
95,-33249.1
96,-33157.6
97,-33066.3
98,-32975.4
99,-32884.7
100,-32794.3
101,-32704.1
102,-32614.3
103,-32524.6
104,-32435.3
105,-32346.2
106,-32257.4
107,-32168.9
108,-32080.6
109,-31992.6
110,-31904.8
111,-31817.3
112,-31730.1
113,-31643.1
114,-31556.4
115,-31470
116,-31383.8
117,-31297.8
118,-31212.2
119,-31126.7
120,-31041.6
121,-30956.6
122,-30872
123,-30787.6
124,-30703.4
125,-30619.5
126,-30535.8
127,-30452.4
128,-30369.2
129,-30286.3
130,-30203.7
131,-30121.2
132,-30039.1
133,-29957.1
134,-29875.4
135,-29794
136,-29712.8
137,-29631.8
138,-29551.1
139,-29470.6
140,-29390.4
141,-29310.4
142,-29230.6
143,-29151.1
144,-29071.8
145,-28992.7
146,-28913.9
147,-28835.3
148,-28757
149,-28678.8
150,-28601
151,-28523.3
152,-28445.9
153,-28368.7
154,-28291.7
155,-28215
156,-28138.5
157,-28062.2
158,-27986.1
159,-27910.3
160,-27834.7
161,-27759.3
162,-27684.2
163,-27609.2
164,-27534.5
165,-27460
166,-27385.8
167,-27311.7
168,-27237.9
169,-27164.3
170,-27090.9
171,-27017.7
172,-26944.8
173,-26872
174,-26799.5
175,-26727.2
176,-26655.1
177,-26583.2
178,-26511.5
179,-26440.1
180,-26368.9
181,-26297.8
182,-26227
183,-26156.4
184,-26086
185,-26015.8
186,-25945.8
187,-25876
188,-25806.5
189,-25737.1
190,-25667.9
191,-25599
192,-25530.2
193,-25461.7
194,-25393.4
195,-25325.2
196,-25257.3
197,-25189.5
198,-25122
199,-25054.7
200,-24987.5
201,-24920.6
202,-24853.8
203,-24787.3
204,-24720.9
205,-24654.8
206,-24588.8
207,-24523.1
208,-24457.5
209,-24392.1
210,-24327
211,-24262
212,-24197.2
213,-24132.6
214,-24068.2
215,-24003.9
216,-23939.9
217,-23876.1
218,-23812.4
219,-23749
220,-23685.7
221,-23622.6
222,-23559.7
223,-23497
224,-23434.4
225,-23372.1
226,-23309.9
227,-23247.9
228,-23186.1
229,-23124.5
230,-23063.1
231,-23001.8
232,-22940.7
233,-22879.9
234,-22819.1
235,-22758.6
236,-22698.3
237,-22638.1
238,-22578.1
239,-22518.2
240,-22458.6
241,-22399.1
242,-22339.8
243,-22280.7
244,-22221.8
245,-22163
246,-22104.4
247,-22046
248,-21987.7
249,-21929.6
250,-21871.7
251,-21814
252,-21756.4
253,-21699
254,-21641.7
255,-21584.7
256,-21527.8
257,-21471
258,-21414.5
259,-21358.1
260,-21301.8
261,-21245.8
262,-21189.9
263,-21134.1
264,-21078.6
265,-21023.2
266,-20967.9
267,-20912.8
268,-20857.9
269,-20803.1
270,-20748.5
271,-20694.1
272,-20639.8
273,-20585.7
274,-20531.7
275,-20477.9
276,-20424.3
277,-20370.8
278,-20317.4
279,-20264.3
280,-20211.2
281,-20158.4
282,-20105.7
283,-20053.1
284,-20000.7
285,-19948.5
286,-19896.4
287,-19844.4
288,-19792.6
289,-19741
290,-19689.5
291,-19638.2
292,-19587
293,-19535.9
294,-19485.1
295,-19434.3
296,-19383.7
297,-19333.3
298,-19283
299,-19232.8
300,-19182.8
301,-19133
302,-19083.3
303,-19033.7
304,-18984.3
305,-18935
306,-18885.9
307,-18836.9
308,-18788.1
309,-18739.4
310,-18690.8
311,-18642.4
312,-18594.1
313,-18546
314,-18498
315,-18450.1
316,-18402.4
317,-18354.9
318,-18307.4
319,-18260.1
320,-18213
321,-18165.9
322,-18119.1
323,-18072.3
324,-18025.7
325,-17979.2
326,-17932.9
327,-17886.7
328,-17840.6
329,-17794.7
330,-17748.9
331,-17703.2
332,-17657.7
333,-17612.3
334,-17567
335,-17521.8
336,-17476.8
337,-17432
338,-17387.2
339,-17342.6
340,-17298.1
341,-17253.7
342,-17209.5
343,-17165.4
344,-17121.4
345,-17077.6
346,-17033.9
347,-16990.3
348,-16946.8
349,-16903.5
350,-16860.3
351,-16817.2
352,-16774.2
353,-16731.4
354,-16688.7
355,-16646.1
356,-16603.6
357,-16561.3
358,-16519.1
359,-16477
360,-16435
361,-16393.1
362,-16351.4
363,-16309.8
364,-16268.3
365,-16226.9
366,-16185.7
367,-16144.6
368,-16103.5
369,-16062.7
370,-16021.9
371,-15981.2
372,-15940.7
373,-15900.3
374,-15860
375,-15819.8
376,-15779.7
377,-15739.7
378,-15699.9
379,-15660.2
380,-15620.6
381,-15581.1
382,-15541.7
383,-15502.4
384,-15463.3
385,-15424.2
386,-15385.3
387,-15346.5
388,-15307.8
389,-15269.2
390,-15230.7
391,-15192.3
392,-15154
393,-15115.9
394,-15077.8
395,-15039.9
396,-15002.1
397,-14964.4
398,-14926.8
399,-14889.3
400,-14851.9
401,-14814.6
402,-14777.4
403,-14740.4
404,-14703.4
405,-14666.5
406,-14629.8
407,-14593.1
408,-14556.6
409,-14520.2
410,-14483.8
411,-14447.6
412,-14411.5
413,-14375.5
414,-14339.6
415,-14303.8
416,-14268.1
417,-14232.5
418,-14196.9
