i,lookup[i]
0,-11488.5
1,-11458.7
2,-11429
3,-11399.3
4,-11369.7
5,-11340.2
6,-11310.8
7,-11281.5
8,-11252.3
9,-11223.1
10,-11194
11,-11165
12,-11136.1
13,-11107.3
14,-11078.6
15,-11049.9
16,-11021.3
17,-10992.8
18,-10964.4
19,-10936.1
20,-10907.8
21,-10879.6
22,-10851.5
23,-10823.5
24,-10795.6
25,-10767.7
26,-10739.9
27,-10712.2
28,-10684.6
29,-10657.1
30,-10629.6
31,-10602.2
32,-10574.9
33,-10547.7
34,-10520.5
35,-10493.4
36,-10466.4
37,-10439.5
38,-10412.7
39,-10385.9
40,-10359.2
41,-10332.6
42,-10306
43,-10279.6
44,-10253.2
45,-10226.9
46,-10200.6
47,-10174.4
48,-10148.4
49,-10122.3
50,-10096.4
51,-10070.5
52,-10044.7
53,-10019
54,-9993.33
55,-9967.75
56,-9942.24
57,-9916.8
58,-9891.44
59,-9866.14
60,-9840.92
61,-9815.77
62,-9790.69
63,-9765.68
64,-9740.75
65,-9715.88
66,-9691.08
67,-9666.36
68,-9641.7
69,-9617.11
70,-9592.6
71,-9568.15
72,-9543.77
73,-9519.46
74,-9495.22
75,-9471.05
76,-9446.94
77,-9422.91
78,-9398.94
79,-9375.04
80,-9351.21
81,-9327.44
82,-9303.74
83,-9280.11
84,-9256.55
85,-9233.05
86,-9209.61
87,-9186.25
88,-9162.95
89,-9139.71
90,-9116.55
91,-9093.44
92,-9070.4
93,-9047.43
94,-9024.52
95,-9001.68
96,-8978.9
97,-8956.18
98,-8933.53
99,-8910.94
100,-8888.42
101,-8865.96
102,-8843.56
103,-8821.23
104,-8798.96
105,-8776.75
106,-8754.6
107,-8732.52
108,-8710.49
109,-8688.53
110,-8666.64
111,-8644.8
112,-8623.03
113,-8601.31
114,-8579.66
115,-8558.07
116,-8536.54
117,-8515.06
118,-8493.65
119,-8472.3
120,-8451.01
121,-8429.78
122,-8408.61
123,-8387.5
124,-8366.45
125,-8345.45
126,-8324.52
127,-8303.65
128,-8282.83
129,-8262.07
130,-8241.37
131,-8220.73
132,-8200.14
133,-8179.62
134,-8159.15
135,-8138.73
136,-8118.38
137,-8098.08
138,-8077.84
139,-8057.66
140,-8037.53
141,-8017.46
142,-7997.44
143,-7977.48
144,-7957.58
145,-7937.73
146,-7917.94
147,-7898.21
148,-7878.52
149,-7858.9
150,-7839.33
151,-7819.81
152,-7800.35
153,-7780.94
154,-7761.59
155,-7742.29
156,-7723.04
157,-7703.85
158,-7684.71
159,-7665.63
160,-7646.59
161,-7627.62
162,-7608.69
163,-7589.82
164,-7571
165,-7552.23
166,-7533.51
167,-7514.85
168,-7496.24
169,-7477.68
170,-7459.17
171,-7440.72
172,-7422.31
173,-7403.96
174,-7385.66
175,-7367.4
176,-7349.2
177,-7331.05
178,-7312.95
179,-7294.91
180,-7276.91
181,-7258.96
182,-7241.06
183,-7223.21
184,-7205.41
185,-7187.66
186,-7169.96
187,-7152.31
188,-7134.7
189,-7117.15
190,-7099.65
191,-7082.19
192,-7064.78
193,-7047.42
194,-7030.11
195,-7012.85
196,-6995.63
197,-6978.46
198,-6961.34
199,-6944.27
200,-6927.24
201,-6910.27
202,-6893.33
203,-6876.45
204,-6859.61
205,-6842.82
206,-6826.08
207,-6809.38
208,-6792.73
209,-6776.12
210,-6759.56
211,-6743.04
212,-6726.58
213,-6710.15
214,-6693.77
215,-6677.44
216,-6661.15
217,-6644.91
218,-6628.71
219,-6612.56
220,-6596.45
221,-6580.39
222,-6564.37
223,-6548.39
224,-6532.46
225,-6516.57
226,-6500.73
227,-6484.93
228,-6469.17
229,-6453.46
230,-6437.79
231,-6422.16
232,-6406.58
233,-6391.04
234,-6375.54
235,-6360.09
236,-6344.67
237,-6329.3
238,-6313.97
239,-6298.69
240,-6283.44
241,-6268.24
242,-6253.08
243,-6237.96
244,-6222.88
245,-6207.85
246,-6192.85
247,-6177.9
248,-6162.99
249,-6148.12
250,-6133.28
251,-6118.49
252,-6103.74
253,-6089.03
254,-6074.37
255,-6059.74
256,-6045.15
257,-6030.6
258,-6016.09
259,-6001.62
260,-5987.19
261,-5972.8
262,-5958.45
263,-5944.14
264,-5929.86
265,-5915.63
266,-5901.43
267,-5887.28
268,-5873.16
269,-5859.08
270,-5845.04
271,-5831.04
272,-5817.08
273,-5803.15
274,-5789.26
275,-5775.41
276,-5761.6
277,-5747.82
278,-5734.09
279,-5720.39
280,-5706.72
281,-5693.1
282,-5679.51
283,-5665.96
284,-5652.44
285,-5638.97
286,-5625.52
287,-5612.12
288,-5598.75
289,-5585.42
290,-5572.12
291,-5558.86
292,-5545.64
293,-5532.45
294,-5519.3
295,-5506.18
296,-5493.1
297,-5480.06
298,-5467.05
299,-5454.07
300,-5441.13
301,-5428.23
302,-5415.36
303,-5402.52
304,-5389.72
305,-5376.95
306,-5364.22
307,-5351.53
308,-5338.86
309,-5326.23
310,-5313.64
311,-5301.08
312,-5288.55
313,-5276.06
314,-5263.6
315,-5251.18
316,-5238.78
317,-5226.43
318,-5214.1
319,-5201.81
320,-5189.55
321,-5177.32
322,-5165.13
323,-5152.97
324,-5140.84
325,-5128.75
326,-5116.68
327,-5104.65
328,-5092.66
329,-5080.69
330,-5068.76
331,-5056.86
332,-5044.99
333,-5033.15
334,-5021.34
335,-5009.57
336,-4997.83
337,-4986.11
338,-4974.43
339,-4962.79
340,-4951.17
341,-4939.58
342,-4928.03
343,-4916.5
344,-4905.01
345,-4893.54
346,-4882.11
347,-4870.71
348,-4859.34
349,-4848
350,-4836.69
351,-4825.4
352,-4814.15
353,-4802.93
354,-4791.74
355,-4780.58
356,-4769.45
357,-4758.35
358,-4747.28
359,-4736.23
360,-4725.22
361,-4714.23
362,-4703.28
363,-4692.35
364,-4681.46
365,-4670.59
366,-4659.75
367,-4648.94
368,-4638.16
369,-4627.4
370,-4616.68
371,-4605.98
372,-4595.31
373,-4584.68
374,-4574.06
375,-4563.48
376,-4552.92
377,-4542.4
378,-4531.9
379,-4521.42
380,-4510.98
381,-4500.56
382,-4490.17
383,-4479.81
384,-4469.48
385,-4459.17
386,-4448.89
387,-4438.64
388,-4428.41
389,-4418.21
390,-4408.04
391,-4397.89
392,-4387.77
393,-4377.68
394,-4367.61
395,-4357.57
396,-4347.56
397,-4337.57
398,-4327.61
399,-4317.68
400,-4307.77
401,-4297.89
402,-4288.03
403,-4278.2
404,-4268.39
405,-4258.61
406,-4248.86
407,-4239.13
408,-4229.43
409,-4219.75
410,-4210.1
411,-4200.47
412,-4190.87
413,-4181.29
414,-4171.74
415,-4162.21
416,-4152.71
417,-4143.23
418,-4133.77
419,-4124.35
