i,lookup[i]
0,-14788.6
1,-14751.6
2,-14714.7
3,-14677.9
4,-14641.2
5,-14604.6
6,-14568.1
7,-14531.8
8,-14495.5
9,-14459.3
10,-14423.2
11,-14387.2
12,-14351.4
13,-14315.6
14,-14279.9
15,-14244.3
16,-14208.8
17,-14173.5
18,-14138.2
19,-14103
20,-14067.9
21,-14032.9
22,-13998
23,-13963.2
24,-13928.5
25,-13893.9
26,-13859.4
27,-13825
28,-13790.7
29,-13756.4
30,-13722.3
31,-13688.3
32,-13654.3
33,-13620.5
34,-13586.7
35,-13553.1
36,-13519.5
37,-13486
38,-13452.6
39,-13419.4
40,-13386.2
41,-13353.1
42,-13320
43,-13287.1
44,-13254.3
45,-13221.5
46,-13188.9
47,-13156.3
48,-13123.9
49,-13091.5
50,-13059.2
51,-13027
52,-12994.9
53,-12962.9
54,-12930.9
55,-12899.1
56,-12867.3
57,-12835.7
58,-12804.1
59,-12772.6
60,-12741.2
61,-12709.8
62,-12678.6
63,-12647.5
64,-12616.4
65,-12585.4
66,-12554.5
67,-12523.7
68,-12493
69,-12462.3
70,-12431.8
71,-12401.3
72,-12370.9
73,-12340.6
74,-12310.4
75,-12280.3
76,-12250.2
77,-12220.3
78,-12190.4
79,-12160.6
80,-12130.8
81,-12101.2
82,-12071.6
83,-12042.2
84,-12012.8
85,-11983.4
86,-11954.2
87,-11925.1
88,-11896
89,-11867
90,-11838.1
91,-11809.2
92,-11780.5
93,-11751.8
94,-11723.2
95,-11694.7
96,-11666.2
97,-11637.9
98,-11609.6
99,-11581.4
100,-11553.2
101,-11525.2
102,-11497.2
103,-11469.3
104,-11441.5
105,-11413.7
106,-11386
107,-11358.4
108,-11330.9
109,-11303.5
110,-11276.1
111,-11248.8
112,-11221.6
113,-11194.4
114,-11167.4
115,-11140.4
116,-11113.5
117,-11086.6
118,-11059.8
119,-11033.1
120,-11006.5
121,-10979.9
122,-10953.4
123,-10927
124,-10900.7
125,-10874.4
126,-10848.2
127,-10822.1
128,-10796
129,-10770.1
130,-10744.1
131,-10718.3
132,-10692.5
133,-10666.8
134,-10641.2
135,-10615.6
136,-10590.1
137,-10564.7
138,-10539.4
139,-10514.1
140,-10488.9
141,-10463.7
142,-10438.6
143,-10413.6
