i,lookup[i]
0,-3566.27
1,-3556.68
2,-3547.11
3,-3537.57
4,-3528.06
5,-3518.58
6,-3509.13
7,-3499.7
8,-3490.3
9,-3480.93
10,-3471.58
11,-3462.26
12,-3452.97
13,-3443.71
14,-3434.47
15,-3425.26
16,-3416.07
17,-3406.92
18,-3397.79
19,-3388.68
20,-3379.61
21,-3370.55
22,-3361.53
23,-3352.53
24,-3343.56
25,-3334.61
26,-3325.69
27,-3316.8
28,-3307.93
29,-3299.08
30,-3290.26
31,-3281.47
32,-3272.71
33,-3263.96
34,-3255.25
35,-3246.56
36,-3237.89
37,-3229.25
38,-3220.64
39,-3212.05
40,-3203.48
41,-3194.94
42,-3186.42
43,-3177.93
44,-3169.46
45,-3161.02
46,-3152.6
47,-3144.21
48,-3135.84
49,-3127.5
50,-3119.18
51,-3110.88
52,-3102.61
53,-3094.36
54,-3086.13
55,-3077.93
56,-3069.75
57,-3061.6
58,-3053.47
59,-3045.36
60,-3037.28
61,-3029.22
62,-3021.18
63,-3013.17
64,-3005.17
65,-2997.21
66,-2989.26
67,-2981.34
68,-2973.44
69,-2965.57
70,-2957.71
71,-2949.88
72,-2942.07
73,-2934.29
74,-2926.53
75,-2918.78
76,-2911.07
77,-2903.37
78,-2895.7
79,-2888.04
80,-2880.41
81,-2872.81
82,-2865.22
83,-2857.66
84,-2850.11
85,-2842.59
86,-2835.09
87,-2827.62
88,-2820.16
89,-2812.73
90,-2805.31
91,-2797.92
92,-2790.55
93,-2783.2
94,-2775.87
95,-2768.57
96,-2761.28
97,-2754.01
98,-2746.77
99,-2739.55
100,-2732.34
101,-2725.16
102,-2718
103,-2710.86
104,-2703.74
105,-2696.64
106,-2689.56
107,-2682.5
108,-2675.46
109,-2668.44
110,-2661.44
111,-2654.46
112,-2647.51
113,-2640.57
114,-2633.65
115,-2626.75
116,-2619.87
117,-2613.01
118,-2606.17
119,-2599.35
120,-2592.55
121,-2585.77
122,-2579.01
123,-2572.27
124,-2565.54
125,-2558.84
126,-2552.15
127,-2545.49
128,-2538.84
129,-2532.21
130,-2525.6
131,-2519.02
132,-2512.44
133,-2505.89
134,-2499.36
135,-2492.84
136,-2486.35
137,-2479.87
138,-2473.41
139,-2466.97
140,-2460.55
141,-2454.14
142,-2447.76
143,-2441.39
144,-2435.04
145,-2428.71
146,-2422.4
147,-2416.1
148,-2409.82
149,-2403.57
150,-2397.32
151,-2391.1
152,-2384.89
153,-2378.71
154,-2372.54
155,-2366.38
156,-2360.25
157,-2354.13
158,-2348.03
159,-2341.94
160,-2335.88
161,-2329.83
162,-2323.8
163,-2317.78
164,-2311.79
165,-2305.81
166,-2299.84
167,-2293.9
168,-2287.97
169,-2282.05
170,-2276.16
171,-2270.28
172,-2264.42
173,-2258.57
174,-2252.74
175,-2246.93
176,-2241.13
177,-2235.35
178,-2229.59
179,-2223.84
180,-2218.11
181,-2212.39
182,-2206.7
183,-2201.01
184,-2195.35
185,-2189.7
186,-2184.06
187,-2178.44
188,-2172.84
189,-2167.26
190,-2161.68
191,-2156.13
192,-2150.59
193,-2145.07
194,-2139.56
195,-2134.07
196,-2128.59
197,-2123.13
198,-2117.68
199,-2112.25
200,-2106.83
201,-2101.43
202,-2096.05
203,-2090.68
204,-2085.33
205,-2079.99
206,-2074.66
207,-2069.35
208,-2064.06
209,-2058.78
210,-2053.51
211,-2048.26
212,-2043.03
213,-2037.81
214,-2032.6
215,-2027.41
216,-2022.23
217,-2017.07
218,-2011.92
219,-2006.79
220,-2001.67
221,-1996.57
222,-1991.48
223,-1986.4
224,-1981.34
225,-1976.29
226,-1971.26
227,-1966.24
228,-1961.24
229,-1956.25
230,-1951.27
231,-1946.31
232,-1941.36
233,-1936.42
234,-1931.5
235,-1926.59
236,-1921.7
237,-1916.82
238,-1911.95
239,-1907.1
240,-1902.26
241,-1897.43
242,-1892.62
243,-1887.82
244,-1883.04
245,-1878.26
246,-1873.5
247,-1868.76
248,-1864.03
249,-1859.31
250,-1854.6
251,-1849.91
252,-1845.23
253,-1840.56
254,-1835.91
255,-1831.27
256,-1826.64
257,-1822.02
258,-1817.42
259,-1812.83
260,-1808.26
261,-1803.69
262,-1799.14
263,-1794.6
264,-1790.08
265,-1785.56
266,-1781.06
267,-1776.57
268,-1772.1
269,-1767.63
270,-1763.18
271,-1758.74
272,-1754.32
273,-1749.9
274,-1745.5
275,-1741.11
276,-1736.73
277,-1732.37
278,-1728.01
279,-1723.67
280,-1719.34
281,-1715.03
282,-1710.72
283,-1706.43
284,-1702.14
285,-1697.87
286,-1693.62
287,-1689.37
288,-1685.13
289,-1680.91
290,-1676.7
291,-1672.5
292,-1668.31
293,-1664.13
294,-1659.97
295,-1655.82
296,-1651.67
297,-1647.54
298,-1643.42
299,-1639.31
300,-1635.22
301,-1631.13
302,-1627.06
303,-1622.99
304,-1618.94
305,-1614.9
306,-1610.87
307,-1606.85
308,-1602.84
309,-1598.85
310,-1594.86
311,-1590.88
312,-1586.92
313,-1582.97
314,-1579.02
315,-1575.09
316,-1571.17
317,-1567.26
318,-1563.36
319,-1559.47
320,-1555.59
321,-1551.73
322,-1547.87
323,-1544.02
324,-1540.19
325,-1536.36
326,-1532.54
327,-1528.74
328,-1524.95
329,-1521.16
