i,lookup[i]
0,-17389.6
1,-17341
2,-17292.6
3,-17244.3
4,-17196.2
5,-17148.2
6,-17100.4
7,-17052.7
8,-17005.2
9,-16957.8
10,-16910.5
11,-16863.4
12,-16816.4
13,-16769.6
14,-16722.8
15,-16676.3
16,-16629.9
17,-16583.6
18,-16537.4
19,-16491.4
20,-16445.6
21,-16399.8
22,-16354.2
23,-16308.8
24,-16263.5
25,-16218.3
26,-16173.2
27,-16128.3
28,-16083.5
29,-16038.9
30,-15994.3
31,-15950
32,-15905.7
33,-15861.6
34,-15817.6
35,-15773.8
36,-15730
37,-15686.4
38,-15643
39,-15599.6
40,-15556.4
41,-15513.4
42,-15470.4
43,-15427.6
44,-15384.9
45,-15342.3
46,-15299.9
47,-15257.6
48,-15215.4
49,-15173.4
50,-15131.4
51,-15089.6
52,-15047.9
53,-15006.4
54,-14964.9
55,-14923.6
56,-14882.4
57,-14841.4
58,-14800.4
59,-14759.6
60,-14718.9
61,-14678.4
62,-14637.9
63,-14597.6
64,-14557.3
65,-14517.3
66,-14477.3
67,-14437.4
68,-14397.7
69,-14358.1
70,-14318.6
71,-14279.2
72,-14239.9
73,-14200.8
74,-14161.7
75,-14122.8
76,-14084
77,-14045.3
78,-14006.8
79,-13968.3
80,-13930
81,-13891.8
82,-13853.6
83,-13815.6
84,-13777.8
85,-13740
86,-13702.3
87,-13664.8
88,-13627.3
89,-13590
90,-13552.8
91,-13515.7
92,-13478.7
93,-13441.8
94,-13405.1
95,-13368.4
96,-13331.8
97,-13295.4
98,-13259.1
99,-13222.8
100,-13186.7
101,-13150.7
102,-13114.8
103,-13079
104,-13043.3
105,-13007.7
106,-12972.2
107,-12936.8
108,-12901.6
109,-12866.4
110,-12831.3
111,-12796.4
112,-12761.5
113,-12726.8
114,-12692.1
115,-12657.6
116,-12623.1
117,-12588.8
118,-12554.6
119,-12520.4
120,-12486.4
121,-12452.5
122,-12418.6
123,-12384.9
124,-12351.3
125,-12317.7
126,-12284.3
127,-12251
128,-12217.7
129,-12184.6
130,-12151.6
131,-12118.6
132,-12085.8
133,-12053
134,-12020.4
135,-11987.8
136,-11955.4
137,-11923
138,-11890.7
139,-11858.6
140,-11826.5
141,-11794.5
142,-11762.6
143,-11730.9
144,-11699.2
145,-11667.6
146,-11636
147,-11604.6
148,-11573.3
149,-11542.1
150,-11511
151,-11479.9
152,-11449
153,-11418.1
154,-11387.3
155,-11356.6
156,-11326.1
157,-11295.6
158,-11265.2
159,-11234.8
160,-11204.6
161,-11174.5
162,-11144.4
163,-11114.5
164,-11084.6
165,-11054.8
166,-11025.1
167,-10995.5
168,-10966
169,-10936.6
170,-10907.2
171,-10878
172,-10848.8
173,-10819.7
174,-10790.7
175,-10761.8
176,-10733
177,-10704.2
178,-10675.5
179,-10647
180,-10618.5
181,-10590.1
182,-10561.8
183,-10533.5
184,-10505.4
185,-10477.3
186,-10449.3
187,-10421.4
188,-10393.6
189,-10365.8
190,-10338.2
191,-10310.6
192,-10283.1
193,-10255.7
194,-10228.3
195,-10201.1
196,-10173.9
197,-10146.8
198,-10119.8
199,-10092.8
200,-10066
201,-10039.2
202,-10012.5
203,-9985.87
204,-9959.33
205,-9932.86
206,-9906.47
207,-9880.16
208,-9853.93
209,-9827.77
210,-9801.7
211,-9775.69
212,-9749.77
213,-9723.92
214,-9698.15
215,-9672.45
216,-9646.82
217,-9621.28
218,-9595.81
219,-9570.41
220,-9545.09
221,-9519.84
222,-9494.66
223,-9469.56
224,-9444.54
225,-9419.58
226,-9394.7
227,-9369.89
228,-9345.16
229,-9320.5
230,-9295.91
231,-9271.39
232,-9246.95
233,-9222.57
234,-9198.27
235,-9174.04
236,-9149.88
237,-9125.79
238,-9101.77
239,-9077.82
240,-9053.94
241,-9030.13
242,-9006.39
243,-8982.72
244,-8959.12
245,-8935.59
246,-8912.13
247,-8888.74
248,-8865.41
249,-8842.15
250,-8818.96
251,-8795.84
252,-8772.79
253,-8749.8
254,-8726.88
255,-8704.03
256,-8681.24
257,-8658.53
258,-8635.87
259,-8613.29
260,-8590.77
261,-8568.31
262,-8545.92
263,-8523.6
264,-8501.34
265,-8479.14
266,-8457.02
267,-8434.95
268,-8412.95
269,-8391.01
270,-8369.14
271,-8347.33
272,-8325.59
273,-8303.91
274,-8282.29
275,-8260.73
276,-8239.24
277,-8217.81
278,-8196.44
279,-8175.14
280,-8153.89
281,-8132.71
282,-8111.59
283,-8090.53
284,-8069.54
285,-8048.6
286,-8027.72
287,-8006.91
288,-7986.15
289,-7965.46
290,-7944.83
291,-7924.25
292,-7903.74
293,-7883.28
294,-7862.89
295,-7842.55
296,-7822.28
297,-7802.06
298,-7781.9
299,-7761.8
300,-7741.75
301,-7721.77
302,-7701.84
303,-7681.97
304,-7662.16
305,-7642.41
306,-7622.71
307,-7603.07
308,-7583.49
309,-7563.97
310,-7544.5
311,-7525.08
312,-7505.73
313,-7486.43
314,-7467.18
315,-7447.99
316,-7428.86
317,-7409.78
318,-7390.76
319,-7371.79
320,-7352.87
321,-7334.01
322,-7315.21
323,-7296.46
324,-7277.76
325,-7259.12
326,-7240.53
327,-7222
328,-7203.52
329,-7185.09
330,-7166.72
331,-7148.4
332,-7130.13
333,-7111.91
334,-7093.75
335,-7075.64
336,-7057.58
337,-7039.57
338,-7021.62
339,-7003.71
340,-6985.86
341,-6968.06
342,-6950.31
343,-6932.61
344,-6914.97
345,-6897.37
346,-6879.82
347,-6862.33
348,-6844.88
349,-6827.49
350,-6810.14
351,-6792.85
352,-6775.6
353,-6758.41
354,-6741.26
355,-6724.16
356,-6707.11
357,-6690.12
358,-6673.16
359,-6656.26
360,-6639.41
361,-6622.6
362,-6605.85
363,-6589.14
364,-6572.48
365,-6555.86
366,-6539.3
367,-6522.78
368,-6506.31
369,-6489.88
370,-6473.51
371,-6457.18
372,-6440.89
373,-6424.66
374,-6408.47
375,-6392.32
376,-6376.22
377,-6360.17
378,-6344.16
379,-6328.2
380,-6312.29
381,-6296.42
382,-6280.6
383,-6264.82
384,-6249.08
385,-6233.39
386,-6217.75
387,-6202.15
388,-6186.59
389,-6171.08
390,-6155.61
391,-6140.19
392,-6124.81
393,-6109.48
394,-6094.18
395,-6078.94
396,-6063.73
397,-6048.57
398,-6033.45
399,-6018.38
400,-6003.34
401,-5988.35
402,-5973.4
403,-5958.5
404,-5943.64
405,-5928.82
406,-5914.04
407,-5899.3
408,-5884.61
409,-5869.95
410,-5855.34
411,-5840.77
412,-5826.24
413,-5811.75
414,-5797.31
415,-5782.9
416,-5768.54
417,-5754.21
418,-5739.93
419,-5725.68
420,-5711.48
421,-5697.32
422,-5683.19
423,-5669.11
424,-5655.07
425,-5641.06
426,-5627.1
427,-5613.17
428,-5599.29
429,-5585.44
430,-5571.63
431,-5557.86
432,-5544.13
433,-5530.44
434,-5516.79
435,-5503.17
436,-5489.6
437,-5476.06
438,-5462.56
439,-5449.1
440,-5435.68
441,-5422.29
442,-5408.94
443,-5395.63
444,-5382.36
445,-5369.12
446,-5355.92
447,-5342.76
448,-5329.63
449,-5316.54
450,-5303.49
451,-5290.48
452,-5277.5
453,-5264.56
454,-5251.65
455,-5238.78
456,-5225.94
457,-5213.15
458,-5200.38
459,-5187.66
460,-5174.97
461,-5162.31
462,-5149.69
463,-5137.1
464,-5124.55
465,-5112.04
466,-5099.56
467,-5087.11
468,-5074.7
469,-5062.33
470,-5049.98
471,-5037.68
472,-5025.4
473,-5013.17
474,-5000.96
475,-4988.79
476,-4976.65
477,-4964.55
478,-4952.48
479,-4940.44
480,-4928.44
481,-4916.47
482,-4904.54
483,-4892.63
484,-4880.76
485,-4868.93
486,-4857.12
487,-4845.35
488,-4833.61
489,-4821.9
490,-4810.23
491,-4798.59
492,-4786.98
493,-4775.4
494,-4763.86
495,-4752.34
496,-4740.86
497,-4729.41
498,-4717.99
499,-4706.6
500,-4695.25
501,-4683.92
502,-4672.63
503,-4661.37
504,-4650.14
505,-4638.94
506,-4627.77
507,-4616.63
508,-4605.52
509,-4594.45
510,-4583.4
511,-4572.38
512,-4561.4
513,-4550.44
514,-4539.51
515,-4528.62
516,-4517.75
517,-4506.91
518,-4496.11
519,-4485.33
520,-4474.58
521,-4463.87
522,-4453.18
523,-4442.52
524,-4431.89
525,-4421.28
526,-4410.71
527,-4400.17
528,-4389.65
529,-4379.17
530,-4368.71
531,-4358.28
532,-4347.88
533,-4337.51
534,-4327.16
535,-4316.85
536,-4306.56
537,-4296.3
538,-4286.07
539,-4275.86
540,-4265.69
541,-4255.54
542,-4245.42
543,-4235.32
544,-4225.26
545,-4215.22
546,-4205.21
547,-4195.22
548,-4185.26
549,-4175.33
550,-4165.43
551,-4155.55
552,-4145.7
553,-4135.88
554,-4126.08
555,-4116.31
556,-4106.57
557,-4096.85
558,-4087.16
559,-4077.49
560,-4067.85
561,-4058.24
562,-4048.65
563,-4039.09
564,-4029.55
565,-4020.04
566,-4010.55
567,-4001.09
568,-3991.66
569,-3982.25
570,-3972.87
571,-3963.51
572,-3954.18
573,-3944.87
574,-3935.58
575,-3926.32
576,-3917.09
577,-3907.88
578,-3898.7
579,-3889.54
580,-3880.4
581,-3871.29
582,-3862.2
583,-3853.14
584,-3844.1
585,-3835.09
586,-3826.1
587,-3817.13
588,-3808.19
589,-3799.27
590,-3790.37
591,-3781.5
592,-3772.65
593,-3763.83
594,-3755.03
595,-3746.25
596,-3737.49
597,-3728.76
598,-3720.05
599,-3711.37
600,-3702.71
601,-3694.07
602,-3685.45
603,-3676.86
604,-3668.29
605,-3659.74
606,-3651.21
607,-3642.71
608,-3634.23
609,-3625.77
610,-3617.33
611,-3608.92
612,-3600.52
613,-3592.15
614,-3583.81
615,-3575.48
616,-3567.17
617,-3558.89
618,-3550.63
619,-3542.39
620,-3534.17
621,-3525.98
622,-3517.8
623,-3509.65
624,-3501.52
625,-3493.41
626,-3485.32
627,-3477.25
628,-3469.2
629,-3461.17
630,-3453.17
631,-3445.18
632,-3437.22
633,-3429.27
634,-3421.35
635,-3413.45
636,-3405.57
637,-3397.71
638,-3389.87
639,-3382.05
640,-3374.24
641,-3366.46
642,-3358.7
643,-3350.96
644,-3343.24
645,-3335.54
646,-3327.86
647,-3320.2
648,-3312.56
649,-3304.94
650,-3297.34
651,-3289.76
652,-3282.2
653,-3274.65
654,-3267.13
655,-3259.63
656,-3252.14
657,-3244.67
658,-3237.23
659,-3229.8
660,-3222.39
661,-3215
662,-3207.63
663,-3200.28
664,-3192.95
665,-3185.63
666,-3178.34
667,-3171.06
668,-3163.8
669,-3156.56
670,-3149.34
671,-3142.13
672,-3134.95
673,-3127.78
674,-3120.63
675,-3113.5
676,-3106.39
677,-3099.3
678,-3092.22
679,-3085.16
680,-3078.12
681,-3071.1
682,-3064.09
683,-3057.1
684,-3050.13
685,-3043.18
686,-3036.25
687,-3029.33
688,-3022.43
689,-3015.55
690,-3008.68
691,-3001.83
692,-2995
693,-2988.19
694,-2981.39
695,-2974.61
696,-2967.85
697,-2961.1
698,-2954.37
699,-2947.66
700,-2940.96
701,-2934.28
702,-2927.62
703,-2920.98
704,-2914.35
705,-2907.73
