i,lookup[i]
0,-22223.1
1,-22178.9
2,-22134.7
3,-22090.7
4,-22046.8
5,-22003
6,-21959.3
7,-21915.7
8,-21872.2
9,-21828.8
10,-21785.6
11,-21742.4
12,-21699.3
13,-21656.3
14,-21613.4
15,-21570.6
16,-21528
17,-21485.4
18,-21442.9
19,-21400.5
20,-21358.2
21,-21316.1
22,-21274
23,-21232
24,-21190.1
25,-21148.3
26,-21106.6
27,-21065.1
28,-21023.6
29,-20982.2
30,-20940.9
31,-20899.7
32,-20858.6
33,-20817.6
34,-20776.7
35,-20735.9
36,-20695.1
37,-20654.5
38,-20614
39,-20573.6
40,-20533.2
41,-20493
42,-20452.8
43,-20412.8
44,-20372.8
45,-20332.9
46,-20293.2
47,-20253.5
48,-20213.9
49,-20174.4
50,-20135
51,-20095.7
52,-20056.5
53,-20017.3
54,-19978.3
55,-19939.4
56,-19900.5
57,-19861.7
58,-19823.1
59,-19784.5
60,-19746
61,-19707.6
62,-19669.3
63,-19631
64,-19592.9
65,-19554.9
66,-19516.9
67,-19479
68,-19441.2
69,-19403.5
70,-19365.9
71,-19328.4
72,-19291
73,-19253.6
74,-19216.4
75,-19179.2
76,-19142.1
77,-19105.1
78,-19068.2
79,-19031.4
80,-18994.6
81,-18958
82,-18921.4
83,-18884.9
84,-18848.5
85,-18812.2
86,-18775.9
87,-18739.8
88,-18703.7
89,-18667.7
90,-18631.8
91,-18596
92,-18560.2
93,-18524.6
94,-18489
95,-18453.5
96,-18418.1
97,-18382.8
98,-18347.5
99,-18312.3
100,-18277.2
101,-18242.2
102,-18207.3
103,-18172.5
104,-18137.7
105,-18103
106,-18068.4
107,-18033.9
108,-17999.4
109,-17965.1
110,-17930.8
111,-17896.5
112,-17862.4
113,-17828.4
114,-17794.4
115,-17760.5
116,-17726.7
117,-17692.9
118,-17659.2
119,-17625.6
120,-17592.1
121,-17558.7
122,-17525.3
123,-17492
124,-17458.8
125,-17425.7
126,-17392.6
127,-17359.6
128,-17326.7
129,-17293.9
130,-17261.1
131,-17228.5
132,-17195.8
133,-17163.3
134,-17130.8
135,-17098.5
136,-17066.1
137,-17033.9
138,-17001.7
139,-16969.6
140,-16937.6
141,-16905.7
142,-16873.8
143,-16842
144,-16810.2
145,-16778.6
146,-16747
147,-16715.5
148,-16684
149,-16652.6
150,-16621.3
151,-16590.1
152,-16558.9
153,-16527.8
154,-16496.8
155,-16465.8
156,-16435
157,-16404.1
158,-16373.4
159,-16342.7
160,-16312.1
161,-16281.6
162,-16251.1
163,-16220.7
164,-16190.3
165,-16160.1
166,-16129.9
167,-16099.7
168,-16069.7
169,-16039.7
170,-16009.8
171,-15979.9
172,-15950.1
173,-15920.4
174,-15890.7
175,-15861.1
176,-15831.6
177,-15802.1
178,-15772.7
179,-15743.4
180,-15714.1
181,-15684.9
182,-15655.8
183,-15626.7
184,-15597.7
185,-15568.7
186,-15539.9
187,-15511
188,-15482.3
189,-15453.6
190,-15425
191,-15396.4
192,-15367.9
193,-15339.5
194,-15311.1
195,-15282.8
196,-15254.6
197,-15226.4
198,-15198.3
199,-15170.2
200,-15142.2
201,-15114.3
202,-15086.4
203,-15058.6
204,-15030.8
205,-15003.2
206,-14975.5
207,-14948
208,-14920.5
209,-14893
210,-14865.6
211,-14838.3
212,-14811
213,-14783.8
214,-14756.7
215,-14729.6
216,-14702.6
217,-14675.6
218,-14648.7
219,-14621.8
220,-14595.1
221,-14568.3
222,-14541.6
223,-14515
224,-14488.5
225,-14462
226,-14435.5
227,-14409.2
228,-14382.8
229,-14356.6
230,-14330.4
231,-14304.2
232,-14278.1
233,-14252.1
234,-14226.1
235,-14200.2
236,-14174.3
237,-14148.5
238,-14122.7
239,-14097
240,-14071.4
241,-14045.8
242,-14020.2
243,-13994.8
244,-13969.3
245,-13944
246,-13918.6
247,-13893.4
248,-13868.2
249,-13843
250,-13817.9
251,-13792.9
252,-13767.9
253,-13743
254,-13718.1
255,-13693.2
256,-13668.5
257,-13643.8
258,-13619.1
259,-13594.5
260,-13569.9
261,-13545.4
262,-13520.9
263,-13496.5
264,-13472.2
265,-13447.9
266,-13423.6
267,-13399.4
268,-13375.3
269,-13351.2
270,-13327.2
271,-13303.2
272,-13279.2
273,-13255.3
274,-13231.5
275,-13207.7
276,-13184
277,-13160.3
278,-13136.7
279,-13113.1
280,-13089.5
281,-13066.1
282,-13042.6
283,-13019.2
284,-12995.9
285,-12972.6
286,-12949.4
287,-12926.2
288,-12903
289,-12880
290,-12856.9
291,-12833.9
292,-12811
293,-12788.1
294,-12765.2
295,-12742.4
296,-12719.7
297,-12697
298,-12674.3
299,-12651.7
300,-12629.2
301,-12606.6
302,-12584.2
303,-12561.8
304,-12539.4
305,-12517.1
306,-12494.8
307,-12472.6
308,-12450.4
309,-12428.2
310,-12406.1
311,-12384.1
312,-12362.1
313,-12340.1
314,-12318.2
315,-12296.4
316,-12274.5
317,-12252.8
318,-12231
319,-12209.4
320,-12187.7
321,-12166.1
322,-12144.6
323,-12123.1
324,-12101.6
325,-12080.2
326,-12058.8
327,-12037.5
328,-12016.2
329,-11995
330,-11973.8
331,-11952.6
332,-11931.5
333,-11910.5
334,-11889.5
335,-11868.5
336,-11847.5
337,-11826.7
338,-11805.8
339,-11785
340,-11764.2
341,-11743.5
342,-11722.8
343,-11702.2
344,-11681.6
345,-11661.1
346,-11640.5
347,-11620.1
348,-11599.7
349,-11579.3
350,-11558.9
351,-11538.6
352,-11518.4
353,-11498.2
354,-11478
355,-11457.8
356,-11437.7
357,-11417.7
358,-11397.7
359,-11377.7
360,-11357.8
361,-11337.9
362,-11318
363,-11298.2
364,-11278.4
365,-11258.7
366,-11239
367,-11219.4
368,-11199.7
369,-11180.2
370,-11160.6
371,-11141.1
372,-11121.7
373,-11102.3
374,-11082.9
375,-11063.5
376,-11044.2
377,-11025
378,-11005.7
379,-10986.6
380,-10967.4
