i,lookup[i]
0,-26621.8
1,-26565.9
2,-26510.1
3,-26454.5
4,-26399
5,-26343.6
6,-26288.4
7,-26233.3
8,-26178.3
9,-26123.5
10,-26068.8
11,-26014.3
12,-25959.9
13,-25905.6
14,-25851.4
15,-25797.4
16,-25743.5
17,-25689.8
18,-25636.1
19,-25582.6
20,-25529.3
21,-25476.1
22,-25423
23,-25370
24,-25317.2
25,-25264.5
26,-25211.9
27,-25159.4
28,-25107.1
29,-25054.9
30,-25002.9
31,-24950.9
32,-24899.1
33,-24847.4
34,-24795.9
35,-24744.5
36,-24693.2
37,-24642
38,-24590.9
39,-24540
40,-24489.2
41,-24438.5
42,-24388
43,-24337.5
44,-24287.2
45,-24237.1
46,-24187
47,-24137.1
48,-24087.2
49,-24037.6
50,-23988
51,-23938.5
52,-23889.2
53,-23840
54,-23790.9
55,-23741.9
56,-23693.1
57,-23644.3
58,-23595.7
59,-23547.2
60,-23498.9
61,-23450.6
62,-23402.5
63,-23354.4
64,-23306.5
65,-23258.7
66,-23211.1
67,-23163.5
68,-23116.1
69,-23068.7
70,-23021.5
71,-22974.4
72,-22927.4
73,-22880.6
74,-22833.8
75,-22787.2
76,-22740.6
77,-22694.2
78,-22647.9
79,-22601.7
80,-22555.6
81,-22509.7
82,-22463.8
83,-22418.1
84,-22372.4
85,-22326.9
86,-22281.5
87,-22236.2
88,-22191
89,-22145.9
90,-22100.9
91,-22056.1
92,-22011.3
93,-21966.7
94,-21922.1
95,-21877.7
96,-21833.3
97,-21789.1
98,-21745
99,-21701
100,-21657.1
101,-21613.3
102,-21569.6
103,-21526
104,-21482.5
105,-21439.2
106,-21395.9
107,-21352.7
108,-21309.7
109,-21266.7
110,-21223.8
111,-21181.1
112,-21138.4
113,-21095.9
114,-21053.4
115,-21011.1
116,-20968.8
117,-20926.7
118,-20884.7
119,-20842.7
120,-20800.9
121,-20759.1
122,-20717.5
123,-20676
124,-20634.5
125,-20593.2
126,-20551.9
127,-20510.8
128,-20469.7
129,-20428.8
130,-20388
131,-20347.2
132,-20306.5
133,-20266
134,-20225.5
135,-20185.2
136,-20144.9
137,-20104.7
138,-20064.6
139,-20024.7
140,-19984.8
141,-19945
142,-19905.3
143,-19865.7
144,-19826.2
145,-19786.8
146,-19747.5
147,-19708.2
148,-19669.1
149,-19630.1
150,-19591.1
151,-19552.3
152,-19513.5
153,-19474.8
154,-19436.2
155,-19397.8
156,-19359.4
157,-19321.1
158,-19282.8
159,-19244.7
160,-19206.7
161,-19168.7
162,-19130.9
163,-19093.1
164,-19055.5
165,-19017.9
166,-18980.4
167,-18943
168,-18905.6
169,-18868.4
170,-18831.3
171,-18794.2
172,-18757.2
173,-18720.4
174,-18683.6
175,-18646.9
176,-18610.2
177,-18573.7
178,-18537.3
179,-18500.9
180,-18464.6
181,-18428.4
182,-18392.3
183,-18356.3
184,-18320.3
185,-18284.5
186,-18248.7
187,-18213
188,-18177.4
189,-18141.9
190,-18106.5
191,-18071.1
192,-18035.9
193,-18000.7
194,-17965.6
195,-17930.5
196,-17895.6
197,-17860.7
198,-17826
199,-17791.3
200,-17756.7
201,-17722.1
202,-17687.7
203,-17653.3
204,-17619
205,-17584.8
206,-17550.7
207,-17516.6
208,-17482.6
209,-17448.7
210,-17414.9
211,-17381.2
212,-17347.5
213,-17313.9
214,-17280.4
215,-17247
216,-17213.6
217,-17180.4
218,-17147.2
219,-17114.1
220,-17081
221,-17048.1
222,-17015.2
223,-16982.4
224,-16949.6
225,-16917
226,-16884.4
227,-16851.9
228,-16819.4
229,-16787.1
230,-16754.8
231,-16722.6
232,-16690.5
233,-16658.4
234,-16626.4
235,-16594.5
236,-16562.7
237,-16530.9
238,-16499.2
239,-16467.6
240,-16436
241,-16404.5
242,-16373.1
243,-16341.8
244,-16310.6
245,-16279.4
246,-16248.3
247,-16217.2
248,-16186.2
249,-16155.3
250,-16124.5
251,-16093.7
252,-16063
253,-16032.4
254,-16001.9
255,-15971.4
256,-15941
257,-15910.6
258,-15880.4
259,-15850.2
260,-15820
261,-15790
262,-15760
263,-15730
264,-15700.2
265,-15670.4
266,-15640.7
267,-15611
268,-15581.4
269,-15551.9
270,-15522.4
271,-15493
272,-15463.7
273,-15434.5
274,-15405.3
275,-15376.2
276,-15347.1
277,-15318.1
278,-15289.2
279,-15260.3
280,-15231.5
281,-15202.8
282,-15174.1
283,-15145.5
284,-15117
285,-15088.5
286,-15060.1
287,-15031.8
288,-15003.5
289,-14975.3
290,-14947.1
291,-14919
292,-14891
293,-14863
294,-14835.1
295,-14807.3
296,-14779.5
297,-14751.8
298,-14724.1
299,-14696.6
300,-14669
301,-14641.6
302,-14614.2
303,-14586.8
304,-14559.5
305,-14532.3
306,-14505.2
307,-14478.1
308,-14451
309,-14424
310,-14397.1
311,-14370.3
312,-14343.5
313,-14316.7
314,-14290
