i,lookup[i]
0,-2886.76
1,-2879.27
2,-2871.8
3,-2864.35
4,-2856.92
5,-2849.51
6,-2842.13
7,-2834.76
8,-2827.42
9,-2820.1
10,-2812.8
11,-2805.51
12,-2798.25
13,-2791.01
14,-2783.79
15,-2776.59
16,-2769.41
17,-2762.25
18,-2755.12
19,-2748
20,-2740.9
21,-2733.82
22,-2726.76
23,-2719.72
24,-2712.7
25,-2705.71
26,-2698.73
27,-2691.77
28,-2684.83
29,-2677.91
30,-2671
31,-2664.12
32,-2657.26
33,-2650.42
34,-2643.59
35,-2636.79
36,-2630
37,-2623.24
38,-2616.49
39,-2609.76
40,-2603.05
41,-2596.36
42,-2589.69
43,-2583.04
44,-2576.41
45,-2569.79
46,-2563.19
47,-2556.61
48,-2550.05
49,-2543.51
50,-2536.99
51,-2530.49
52,-2524
53,-2517.53
54,-2511.08
55,-2504.65
56,-2498.23
57,-2491.84
58,-2485.46
59,-2479.1
60,-2472.76
61,-2466.43
62,-2460.13
63,-2453.84
64,-2447.57
65,-2441.31
66,-2435.08
67,-2428.86
68,-2422.66
69,-2416.47
70,-2410.3
71,-2404.16
72,-2398.02
73,-2391.91
74,-2385.81
75,-2379.73
76,-2373.66
77,-2367.62
78,-2361.59
79,-2355.57
80,-2349.58
81,-2343.6
82,-2337.63
83,-2331.69
84,-2325.76
85,-2319.84
86,-2313.95
87,-2308.07
88,-2302.2
89,-2296.36
90,-2290.52
91,-2284.71
92,-2278.91
93,-2273.13
94,-2267.36
95,-2261.61
96,-2255.88
97,-2250.16
98,-2244.46
99,-2238.77
100,-2233.1
101,-2227.44
102,-2221.8
103,-2216.18
104,-2210.57
105,-2204.98
106,-2199.4
107,-2193.84
108,-2188.3
109,-2182.76
110,-2177.25
111,-2171.75
112,-2166.27
113,-2160.8
114,-2155.34
115,-2149.9
116,-2144.48
117,-2139.07
118,-2133.68
119,-2128.3
120,-2122.93
121,-2117.58
122,-2112.25
123,-2106.93
124,-2101.63
125,-2096.34
126,-2091.06
127,-2085.8
128,-2080.55
129,-2075.32
130,-2070.1
131,-2064.9
132,-2059.71
133,-2054.54
