i,lookup[i]
0,-110.949
1,-110.649
2,-110.35
3,-110.052
4,-109.755
5,-109.458
6,-109.162
7,-108.867
8,-108.572
9,-108.278
10,-107.985
11,-107.692
12,-107.4
13,-107.109
14,-106.818
15,-106.528
16,-106.239
17,-105.951
18,-105.663
19,-105.376
20,-105.089
21,-104.803
22,-104.518
23,-104.234
24,-103.95
25,-103.667
26,-103.384
27,-103.102
28,-102.821
29,-102.54
30,-102.261
31,-101.981
32,-101.703
33,-101.425
34,-101.147
35,-100.871
36,-100.595
37,-100.319
38,-100.045
39,-99.7704
40,-99.4969
41,-99.224
42,-98.9518
43,-98.6802
44,-98.4092
45,-98.1388
46,-97.869
47,-97.5999
48,-97.3313
49,-97.0634
50,-96.7961
51,-96.5294
52,-96.2633
53,-95.9978
54,-95.733
55,-95.4687
56,-95.205
57,-94.9419
58,-94.6794
59,-94.4176
60,-94.1563
61,-93.8955
62,-93.6354
63,-93.3759
64,-93.1169
65,-92.8586
66,-92.6008
67,-92.3436
68,-92.087
69,-91.8309
70,-91.5754
71,-91.3205
72,-91.0662
73,-90.8124
74,-90.5592
75,-90.3066
76,-90.0545
77,-89.803
78,-89.5521
79,-89.3017
80,-89.0518
81,-88.8025
82,-88.5538
83,-88.3056
84,-88.058
85,-87.8109
86,-87.5644
87,-87.3184
88,-87.0729
89,-86.828
90,-86.5836
91,-86.3398
92,-86.0965
93,-85.8537
94,-85.6115
95,-85.3698
96,-85.1286
97,-84.8879
98,-84.6478
99,-84.4082
100,-84.1691
101,-83.9306
102,-83.6925
103,-83.455
104,-83.218
105,-82.9815
106,-82.7455
107,-82.51
108,-82.275
109,-82.0405
110,-81.8066
111,-81.5731
112,-81.3402
113,-81.1077
114,-80.8757
115,-80.6443
116,-80.4133
117,-80.1828
118,-79.9528
119,-79.7233
120,-79.4943
121,-79.2658
122,-79.0378
123,-78.8102
124,-78.5832
125,-78.3566
126,-78.1305
127,-77.9048
128,-77.6797
129,-77.455
130,-77.2308
131,-77.007
132,-76.7838
133,-76.561
134,-76.3386
135,-76.1168
136,-75.8953
137,-75.6744
138,-75.4539
139,-75.2339
140,-75.0143
141,-74.7952
142,-74.5765
143,-74.3583
144,-74.1406
145,-73.9233
146,-73.7064
147,-73.49
148,-73.274
149,-73.0585
150,-72.8434
151,-72.6288
152,-72.4146
153,-72.2008
154,-71.9875
155,-71.7746
156,-71.5621
157,-71.3501
158,-71.1385
159,-70.9273
160,-70.7166
161,-70.5063
162,-70.2964
163,-70.0869
164,-69.8779
165,-69.6692
166,-69.461
167,-69.2532
168,-69.0459
169,-68.8389
170,-68.6324
171,-68.4262
172,-68.2205
173,-68.0152
174,-67.8103
175,-67.6058
176,-67.4017
177,-67.198
178,-66.9947
179,-66.7918
180,-66.5893
181,-66.3872
182,-66.1855
183,-65.9842
184,-65.7833
185,-65.5827
186,-65.3826
187,-65.1829
188,-64.9835
189,-64.7845
190,-64.586
191,-64.3878
192,-64.1899
193,-63.9925
194,-63.7955
195,-63.5988
196,-63.4025
197,-63.2066
198,-63.011
199,-62.8158
200,-62.621
201,-62.4266
202,-62.2325
203,-62.0388
204,-61.8455
205,-61.6525
206,-61.4599
207,-61.2677
208,-61.0758
209,-60.8843
210,-60.6932
211,-60.5024
212,-60.3119
213,-60.1218
214,-59.9321
215,-59.7427
216,-59.5537
217,-59.365
218,-59.1767
219,-58.9887
220,-58.8011
221,-58.6138
222,-58.4268
223,-58.2402
224,-58.0539
225,-57.868
226,-57.6824
227,-57.4972
228,-57.3123
229,-57.1277
230,-56.9435
231,-56.7595
232,-56.576
233,-56.3927
234,-56.2098
235,-56.0272
236,-55.8449
237,-55.663
238,-55.4814
239,-55.3001
240,-55.1191
241,-54.9384
242,-54.7581
243,-54.5781
244,-54.3984
245,-54.219
246,-54.0399
247,-53.8612
248,-53.6827
249,-53.5046
250,-53.3268
251,-53.1493
252,-52.9721
253,-52.7952
254,-52.6186
255,-52.4423
256,-52.2663
257,-52.0906
258,-51.9152
259,-51.7401
260,-51.5653
261,-51.3908
262,-51.2166
263,-51.0427
264,-50.8691
265,-50.6958
266,-50.5228
267,-50.3501
268,-50.1776
269,-50.0054
270,-49.8336
271,-49.662
272,-49.4907
273,-49.3197
274,-49.1489
275,-48.9785
276,-48.8083
277,-48.6384
278,-48.4688
279,-48.2994
280,-48.1304
281,-47.9616
282,-47.7931
283,-47.6248
284,-47.4569
285,-47.2891
286,-47.1217
287,-46.9545
288,-46.7876
289,-46.621
290,-46.4546
291,-46.2885
292,-46.1227
293,-45.9571
294,-45.7918
295,-45.6267
296,-45.4619
297,-45.2974
298,-45.1331
299,-44.9691
300,-44.8053
301,-44.6418
302,-44.4785
303,-44.3155
304,-44.1527
305,-43.9902
306,-43.8279
307,-43.6659
308,-43.5041
309,-43.3426
310,-43.1813
311,-43.0202
312,-42.8594
313,-42.6988
314,-42.5385
315,-42.3784
316,-42.2186
317,-42.0589
318,-41.8996
319,-41.7404
320,-41.5815
321,-41.4228
322,-41.2644
323,-41.1062
324,-40.9482
325,-40.7904
326,-40.6329
327,-40.4756
328,-40.3185
329,-40.1617
330,-40.005
331,-39.8486
332,-39.6924
333,-39.5365
334,-39.3807
335,-39.2252
336,-39.0699
337,-38.9148
338,-38.7599
339,-38.6053
340,-38.4508
341,-38.2966
342,-38.1426
343,-37.9888
344,-37.8352
345,-37.6818
346,-37.5286
347,-37.3756
348,-37.2229
349,-37.0703
350,-36.9179
351,-36.7658
352,-36.6138
353,-36.4621
354,-36.3105
355,-36.1592
356,-36.008
357,-35.8571
358,-35.7063
359,-35.5558
360,-35.4054
361,-35.2553
362,-35.1053
363,-34.9555
364,-34.8059
365,-34.6565
366,-34.5073
367,-34.3583
368,-34.2094
369,-34.0608
370,-33.9123
371,-33.764
372,-33.616
373,-33.468
374,-33.3203
375,-33.1728
376,-33.0254
377,-32.8782
378,-32.7312
379,-32.5844
380,-32.4377
381,-32.2913
382,-32.145
383,-31.9988
384,-31.8529
385,-31.7071
386,-31.5615
387,-31.4161
388,-31.2708
389,-31.1257
390,-30.9808
391,-30.836
392,-30.6914
393,-30.547
394,-30.4027
395,-30.2586
396,-30.1147
397,-29.9709
398,-29.8273
399,-29.6839
400,-29.5406
401,-29.3974
402,-29.2545
403,-29.1116
404,-28.969
405,-28.8265
406,-28.6841
407,-28.5419
408,-28.3999
409,-28.258
410,-28.1163
411,-27.9747
412,-27.8332
413,-27.6919
414,-27.5508
415,-27.4098
416,-27.2689
417,-27.1282
418,-26.9877
419,-26.8473
420,-26.707
421,-26.5668
422,-26.4269
423,-26.287
424,-26.1473
425,-26.0077
426,-25.8683
427,-25.729
428,-25.5898
429,-25.4508
430,-25.3119
431,-25.1732
432,-25.0345
433,-24.8961
434,-24.7577
435,-24.6195
436,-24.4814
437,-24.3434
438,-24.2056
439,-24.0678
440,-23.9303
441,-23.7928
442,-23.6555
443,-23.5183
444,-23.3812
445,-23.2442
446,-23.1074
447,-22.9707
448,-22.8341
449,-22.6976
450,-22.5612
451,-22.425
452,-22.2889
453,-22.1529
454,-22.017
455,-21.8812
456,-21.7455
457,-21.61
458,-21.4745
459,-21.3392
460,-21.204
461,-21.0689
462,-20.9339
463,-20.799
464,-20.6643
465,-20.5296
466,-20.395
467,-20.2606
468,-20.1262
469,-19.992
470,-19.8578
471,-19.7238
472,-19.5899
473,-19.456
474,-19.3223
475,-19.1887
476,-19.0551
477,-18.9217
478,-18.7884
479,-18.6551
480,-18.522
481,-18.3889
482,-18.256
483,-18.1231
484,-17.9904
485,-17.8577
486,-17.7251
487,-17.5926
488,-17.4602
489,-17.3279
490,-17.1957
491,-17.0636
492,-16.9315
493,-16.7996
494,-16.6677
495,-16.5359
496,-16.4042
497,-16.2726
498,-16.141
499,-16.0096
500,-15.8782
501,-15.7469
502,-15.6157
503,-15.4846
504,-15.3535
505,-15.2226
506,-15.0917
507,-14.9609
508,-14.8301
509,-14.6995
510,-14.5689
511,-14.4383
512,-14.3079
513,-14.1775
514,-14.0472
515,-13.917
516,-13.7868
517,-13.6568
518,-13.5267
519,-13.3968
520,-13.2669
521,-13.1371
522,-13.0073
