i,lookup[i]
0,-4383.94
1,-4374.82
2,-4365.73
3,-4356.65
4,-4347.6
5,-4338.57
6,-4329.55
7,-4320.56
8,-4311.6
9,-4302.65
10,-4293.72
11,-4284.82
12,-4275.93
13,-4267.07
14,-4258.23
15,-4249.41
16,-4240.61
17,-4231.83
18,-4223.07
19,-4214.33
20,-4205.62
21,-4196.92
22,-4188.24
23,-4179.59
24,-4170.95
25,-4162.34
26,-4153.74
27,-4145.17
28,-4136.61
29,-4128.08
30,-4119.57
31,-4111.07
32,-4102.6
33,-4094.14
34,-4085.71
35,-4077.3
36,-4068.9
37,-4060.53
38,-4052.17
39,-4043.83
40,-4035.52
41,-4027.22
42,-4018.94
43,-4010.68
44,-4002.45
45,-3994.23
46,-3986.03
47,-3977.85
48,-3969.68
49,-3961.54
50,-3953.42
51,-3945.31
52,-3937.22
53,-3929.16
54,-3921.11
55,-3913.08
56,-3905.07
57,-3897.08
58,-3889.1
59,-3881.15
60,-3873.21
61,-3865.29
62,-3857.39
63,-3849.51
64,-3841.65
65,-3833.8
66,-3825.97
67,-3818.17
68,-3810.37
69,-3802.6
70,-3794.85
71,-3787.11
72,-3779.39
73,-3771.69
74,-3764.01
75,-3756.34
76,-3748.69
77,-3741.06
78,-3733.45
79,-3725.86
80,-3718.28
81,-3710.72
82,-3703.18
83,-3695.65
84,-3688.14
85,-3680.65
86,-3673.18
87,-3665.72
88,-3658.28
89,-3650.86
90,-3643.46
91,-3636.07
92,-3628.7
93,-3621.34
94,-3614.01
95,-3606.69
96,-3599.38
97,-3592.1
98,-3584.82
99,-3577.57
100,-3570.33
101,-3563.11
102,-3555.91
103,-3548.72
104,-3541.55
105,-3534.39
106,-3527.26
107,-3520.13
108,-3513.03
109,-3505.94
110,-3498.86
111,-3491.81
112,-3484.76
113,-3477.74
114,-3470.73
115,-3463.73
116,-3456.76
117,-3449.79
118,-3442.85
119,-3435.92
120,-3429
121,-3422.1
122,-3415.22
123,-3408.35
124,-3401.5
125,-3394.66
126,-3387.84
127,-3381.03
128,-3374.24
129,-3367.46
130,-3360.7
131,-3353.96
132,-3347.23
133,-3340.51
134,-3333.81
135,-3327.13
136,-3320.46
137,-3313.8
138,-3307.16
139,-3300.54
140,-3293.93
141,-3287.33
142,-3280.75
143,-3274.18
144,-3267.63
145,-3261.09
146,-3254.57
147,-3248.07
148,-3241.57
149,-3235.09
150,-3228.63
151,-3222.18
152,-3215.74
153,-3209.32
154,-3202.92
155,-3196.52
156,-3190.15
157,-3183.78
158,-3177.43
159,-3171.1
160,-3164.77
161,-3158.47
162,-3152.17
163,-3145.89
164,-3139.63
165,-3133.37
166,-3127.14
167,-3120.91
168,-3114.7
169,-3108.5
170,-3102.32
171,-3096.15
172,-3089.99
173,-3083.85
174,-3077.72
175,-3071.61
176,-3065.5
177,-3059.41
178,-3053.34
179,-3047.28
180,-3041.23
181,-3035.19
182,-3029.17
183,-3023.16
184,-3017.16
185,-3011.18
186,-3005.21
187,-2999.25
188,-2993.31
189,-2987.38
190,-2981.46
191,-2975.56
192,-2969.66
193,-2963.78
194,-2957.92
195,-2952.06
