i,lookup[i]
0,-13056.6
1,-13028
2,-12999.6
3,-12971.1
4,-12942.8
5,-12914.5
6,-12886.3
7,-12858.2
8,-12830.1
9,-12802.1
10,-12774.2
11,-12746.3
12,-12718.5
13,-12690.8
14,-12663.2
15,-12635.6
16,-12608.1
17,-12580.7
18,-12553.3
19,-12526
20,-12498.8
21,-12471.6
22,-12444.5
23,-12417.5
24,-12390.6
25,-12363.7
26,-12336.9
27,-12310.1
28,-12283.4
29,-12256.8
30,-12230.3
31,-12203.8
32,-12177.4
33,-12151
34,-12124.7
35,-12098.5
36,-12072.4
37,-12046.3
38,-12020.2
39,-11994.3
40,-11968.4
41,-11942.6
42,-11916.8
43,-11891.1
44,-11865.5
45,-11839.9
46,-11814.4
47,-11789
48,-11763.6
49,-11738.3
50,-11713
51,-11687.8
52,-11662.7
53,-11637.7
54,-11612.7
55,-11587.7
56,-11562.8
57,-11538
58,-11513.3
59,-11488.6
60,-11464
61,-11439.4
62,-11414.9
63,-11390.5
64,-11366.1
65,-11341.8
66,-11317.5
67,-11293.3
68,-11269.2
69,-11245.1
70,-11221.1
71,-11197.1
72,-11173.2
73,-11149.4
74,-11125.6
75,-11101.8
76,-11078.2
77,-11054.6
78,-11031
79,-11007.5
80,-10984.1
81,-10960.7
82,-10937.4
83,-10914.2
84,-10891
85,-10867.8
86,-10844.8
87,-10821.7
88,-10798.8
89,-10775.8
90,-10753
91,-10730.2
92,-10707.4
93,-10684.8
94,-10662.1
95,-10639.6
96,-10617
97,-10594.6
98,-10572.2
99,-10549.8
100,-10527.5
101,-10505.3
102,-10483.1
103,-10461
104,-10438.9
105,-10416.9
106,-10394.9
107,-10373
108,-10351.1
109,-10329.3
110,-10307.6
111,-10285.9
112,-10264.2
113,-10242.6
114,-10221.1
115,-10199.6
116,-10178.2
117,-10156.8
118,-10135.4
119,-10114.2
120,-10092.9
121,-10071.8
122,-10050.6
123,-10029.6
124,-10008.6
125,-9987.59
126,-9966.68
127,-9945.82
128,-9925
129,-9904.24
130,-9883.53
131,-9862.87
132,-9842.26
133,-9821.71
134,-9801.2
135,-9780.74
136,-9760.33
137,-9739.97
138,-9719.66
139,-9699.4
140,-9679.19
141,-9659.03
142,-9638.92
143,-9618.86
144,-9598.84
145,-9578.88
146,-9558.96
147,-9539.1
148,-9519.28
149,-9499.5
150,-9479.78
151,-9460.11
152,-9440.48
153,-9420.9
154,-9401.37
155,-9381.88
156,-9362.44
157,-9343.05
158,-9323.71
159,-9304.41
160,-9285.16
161,-9265.96
162,-9246.8
163,-9227.69
164,-9208.63
165,-9189.61
166,-9170.64
167,-9151.71
168,-9132.83
169,-9114
