i,lookup[i]
0,-14163.2
1,-14135.1
2,-14107.1
3,-14079.2
4,-14051.3
5,-14023.5
6,-13995.8
7,-13968.1
8,-13940.5
9,-13913
10,-13885.5
11,-13858.1
12,-13830.8
13,-13803.5
14,-13776.3
15,-13749.1
16,-13722
17,-13695
18,-13668
19,-13641.1
20,-13614.3
21,-13587.5
22,-13560.8
23,-13534.1
24,-13507.5
25,-13481
26,-13454.6
27,-13428.1
28,-13401.8
29,-13375.5
30,-13349.3
31,-13323.1
32,-13297
33,-13271
34,-13245
35,-13219.1
36,-13193.2
37,-13167.4
38,-13141.7
39,-13116
40,-13090.4
41,-13064.8
42,-13039.3
43,-13013.9
44,-12988.5
45,-12963.2
46,-12937.9
47,-12912.7
48,-12887.6
49,-12862.5
50,-12837.4
51,-12812.5
52,-12787.5
53,-12762.7
54,-12737.9
55,-12713.1
56,-12688.4
57,-12663.8
58,-12639.2
59,-12614.7
60,-12590.2
61,-12565.8
62,-12541.5
63,-12517.2
64,-12492.9
65,-12468.8
66,-12444.6
67,-12420.6
68,-12396.5
69,-12372.6
70,-12348.7
71,-12324.8
72,-12301
73,-12277.3
74,-12253.6
75,-12230
76,-12206.4
77,-12182.8
78,-12159.4
79,-12135.9
80,-12112.6
81,-12089.3
82,-12066
83,-12042.8
84,-12019.6
85,-11996.5
86,-11973.5
87,-11950.5
88,-11927.6
89,-11904.7
90,-11881.8
91,-11859
92,-11836.3
93,-11813.6
94,-11791
95,-11768.4
96,-11745.9
97,-11723.4
98,-11701
99,-11678.6
100,-11656.3
101,-11634
102,-11611.8
103,-11589.6
104,-11567.5
105,-11545.4
106,-11523.4
107,-11501.4
108,-11479.5
109,-11457.6
110,-11435.7
111,-11414
112,-11392.2
113,-11370.6
114,-11348.9
115,-11327.4
116,-11305.8
117,-11284.3
118,-11262.9
119,-11241.5
120,-11220.2
121,-11198.9
122,-11177.6
123,-11156.4
124,-11135.3
125,-11114.2
126,-11093.1
127,-11072.1
128,-11051.2
129,-11030.2
130,-11009.4
