i,lookup[i]
0,-628.157
1,-626.667
2,-625.182
3,-623.7
4,-622.221
5,-620.747
6,-619.276
7,-617.809
8,-616.345
9,-614.885
10,-613.428
11,-611.975
12,-610.526
13,-609.081
14,-607.638
15,-606.2
16,-604.765
17,-603.333
18,-601.906
19,-600.481
20,-599.06
21,-597.643
22,-596.229
23,-594.819
24,-593.412
25,-592.008
26,-590.608
27,-589.211
28,-587.818
29,-586.429
30,-585.042
31,-583.659
32,-582.28
33,-580.904
34,-579.531
35,-578.161
36,-576.795
37,-575.433
38,-574.073
39,-572.717
40,-571.364
41,-570.015
42,-568.669
43,-567.326
44,-565.986
45,-564.65
46,-563.317
47,-561.987
48,-560.66
49,-559.337
50,-558.017
51,-556.7
52,-555.386
53,-554.075
54,-552.768
55,-551.464
56,-550.163
57,-548.865
58,-547.57
59,-546.278
60,-544.99
61,-543.704
62,-542.422
63,-541.143
64,-539.867
65,-538.594
66,-537.324
67,-536.057
68,-534.793
69,-533.533
70,-532.275
71,-531.02
72,-529.768
73,-528.52
74,-527.274
75,-526.031
76,-524.792
77,-523.555
78,-522.321
79,-521.09
80,-519.862
81,-518.637
82,-517.415
83,-516.196
84,-514.98
85,-513.767
86,-512.557
87,-511.349
88,-510.145
89,-508.943
90,-507.744
91,-506.548
92,-505.355
93,-504.165
94,-502.977
95,-501.792
96,-500.611
97,-499.431
98,-498.255
99,-497.082
100,-495.911
101,-494.743
102,-493.578
103,-492.416
104,-491.256
105,-490.099
106,-488.945
107,-487.793
108,-486.645
109,-485.499
110,-484.355
111,-483.215
112,-482.077
113,-480.942
114,-479.809
115,-478.679
116,-477.552
117,-476.427
118,-475.305
119,-474.186
120,-473.069
121,-471.955
122,-470.843
123,-469.734
124,-468.628
125,-467.524
126,-466.423
127,-465.324
128,-464.228
129,-463.135
130,-462.044
131,-460.955
132,-459.869
133,-458.786
134,-457.705
135,-456.627
136,-455.551
137,-454.478
138,-453.407
139,-452.338
140,-451.272
141,-450.209
142,-449.148
143,-448.089
144,-447.033
145,-445.979
146,-444.928
147,-443.879
148,-442.833
149,-441.789
150,-440.747
151,-439.708
152,-438.671
153,-437.637
154,-436.604
155,-435.575
156,-434.547
157,-433.522
158,-432.5
159,-431.479
160,-430.461
161,-429.445
162,-428.432
163,-427.421
164,-426.412
165,-425.406
166,-424.401
167,-423.399
168,-422.4
169,-421.402
170,-420.407
171,-419.414
172,-418.424
173,-417.435
174,-416.449
175,-415.465
176,-414.483
177,-413.504
178,-412.526
179,-411.551
180,-410.578
181,-409.608
182,-408.639
183,-407.673
184,-406.708
185,-405.746
186,-404.787
187,-403.829
188,-402.873
189,-401.92
190,-400.968
191,-400.019
192,-399.072
193,-398.127
194,-397.184
195,-396.243
196,-395.304
197,-394.368
198,-393.433
199,-392.501
200,-391.57
201,-390.642
202,-389.715
203,-388.791
204,-387.869
205,-386.949
206,-386.03
207,-385.114
208,-384.2
209,-383.288
210,-382.378
211,-381.47
212,-380.563
213,-379.659
214,-378.757
215,-377.857
216,-376.959
217,-376.062
218,-375.168
219,-374.275
220,-373.385
221,-372.496
222,-371.61
223,-370.725
224,-369.842
225,-368.962
226,-368.083
227,-367.206
228,-366.33
229,-365.457
230,-364.586
231,-363.716
232,-362.849
233,-361.983
234,-361.119
235,-360.257
236,-359.397
237,-358.538
238,-357.682
239,-356.827
240,-355.974
241,-355.123
242,-354.274
243,-353.427
244,-352.581
245,-351.737
246,-350.895
247,-350.055
248,-349.217
249,-348.38
250,-347.545
251,-346.712
252,-345.881
253,-345.051
254,-344.223
255,-343.397
256,-342.573
257,-341.75
258,-340.929
259,-340.11
260,-339.292
261,-338.477
262,-337.663
263,-336.85
264,-336.04
265,-335.231
266,-334.423
267,-333.618
268,-332.814
269,-332.012
270,-331.211
271,-330.412
272,-329.615
273,-328.819
274,-328.025
275,-327.233
276,-326.442
277,-325.653
278,-324.865
279,-324.08
280,-323.295
281,-322.513
282,-321.732
283,-320.952
284,-320.174
285,-319.398
286,-318.624
287,-317.851
288,-317.079
289,-316.309
290,-315.541
291,-314.774
292,-314.009
293,-313.245
294,-312.483
295,-311.722
296,-310.963
297,-310.205
298,-309.449
299,-308.695
300,-307.942
301,-307.19
302,-306.44
303,-305.692
304,-304.945
305,-304.199
306,-303.455
307,-302.713
308,-301.972
309,-301.232
310,-300.494
311,-299.757
312,-299.022
313,-298.288
314,-297.556
315,-296.825
316,-296.096
317,-295.368
318,-294.641
319,-293.916
320,-293.193
321,-292.47
322,-291.749
323,-291.03
324,-290.312
325,-289.595
326,-288.88
327,-288.166
328,-287.454
329,-286.743
330,-286.033
331,-285.324
332,-284.617
333,-283.912
334,-283.208
335,-282.505
336,-281.803
337,-281.103
338,-280.404
339,-279.706
340,-279.01
341,-278.315
342,-277.622
343,-276.93
344,-276.239
345,-275.549
346,-274.861
347,-274.174
348,-273.488
349,-272.804
350,-272.121
351,-271.439
352,-270.758
353,-270.079
354,-269.401
355,-268.724
356,-268.049
357,-267.375
358,-266.702
359,-266.03
360,-265.36
361,-264.69
362,-264.022
363,-263.356
364,-262.69
365,-262.026
366,-261.363
367,-260.701
368,-260.041
369,-259.381
370,-258.723
371,-258.066
372,-257.41
373,-256.756
374,-256.102
375,-255.45
376,-254.799
377,-254.149
378,-253.501
379,-252.853
380,-252.207
381,-251.562
382,-250.918
383,-250.275
384,-249.633
385,-248.993
386,-248.354
387,-247.715
388,-247.078
389,-246.442
390,-245.807
391,-245.174
392,-244.541
393,-243.91
394,-243.279
395,-242.65
396,-242.022
397,-241.395
398,-240.769
399,-240.144
400,-239.521
401,-238.898
402,-238.276
403,-237.656
404,-237.037
405,-236.418
406,-235.801
407,-235.185
408,-234.57
409,-233.956
410,-233.343
411,-232.731
412,-232.12
413,-231.51
414,-230.901
415,-230.293
416,-229.687
417,-229.081
418,-228.476
419,-227.873
420,-227.27
421,-226.669
422,-226.068
423,-225.468
424,-224.87
425,-224.272
426,-223.676
427,-223.08
428,-222.486
429,-221.892
430,-221.299
431,-220.708
432,-220.117
433,-219.527
434,-218.939
435,-218.351
436,-217.764
437,-217.179
438,-216.594
439,-216.01
440,-215.427
441,-214.845
442,-214.264
443,-213.684
444,-213.105
445,-212.526
446,-211.949
447,-211.373
448,-210.797
449,-210.223
450,-209.649
451,-209.077
452,-208.505
453,-207.934
454,-207.364
455,-206.795
456,-206.227
457,-205.66
458,-205.094
459,-204.528
460,-203.964
461,-203.4
462,-202.837
463,-202.275
464,-201.714
465,-201.154
466,-200.595
467,-200.036
468,-199.479
469,-198.922
470,-198.366
471,-197.811
472,-197.257
473,-196.704
474,-196.151
475,-195.6
476,-195.049
477,-194.499
478,-193.95
479,-193.402
480,-192.854
481,-192.308
482,-191.762
483,-191.217
484,-190.673
485,-190.129
486,-189.587
487,-189.045
488,-188.504
489,-187.964
490,-187.424
491,-186.886
492,-186.348
493,-185.811
494,-185.275
495,-184.739
496,-184.205
497,-183.671
498,-183.138
499,-182.606
500,-182.074
501,-181.543
502,-181.013
503,-180.484
504,-179.955
505,-179.428
506,-178.901
507,-178.374
508,-177.849
509,-177.324
510,-176.8
511,-176.277
512,-175.754
513,-175.232
514,-174.711
515,-174.191
516,-173.671
517,-173.152
518,-172.634
519,-172.116
520,-171.6
521,-171.084
522,-170.568
523,-170.053
524,-169.539
525,-169.026
526,-168.514
527,-168.002
528,-167.49
529,-166.98
530,-166.47
531,-165.961
532,-165.452
533,-164.945
534,-164.438
535,-163.931
536,-163.425
537,-162.92
538,-162.416
539,-161.912
540,-161.409
541,-160.906
542,-160.404
543,-159.903
544,-159.403
545,-158.903
546,-158.404
547,-157.905
548,-157.407
549,-156.91
550,-156.413
551,-155.917
552,-155.421
553,-154.927
554,-154.432
555,-153.939
556,-153.446
557,-152.953
558,-152.462
559,-151.971
560,-151.48
561,-150.99
562,-150.501
563,-150.012
564,-149.524
565,-149.036
566,-148.55
567,-148.063
568,-147.577
569,-147.092
570,-146.608
571,-146.124
572,-145.64
573,-145.157
574,-144.675
575,-144.193
576,-143.712
577,-143.232
578,-142.752
579,-142.272
580,-141.793
581,-141.315
582,-140.837
583,-140.36
584,-139.883
585,-139.407
586,-138.932
587,-138.456
588,-137.982
589,-137.508
590,-137.035
591,-136.562
592,-136.089
593,-135.617
594,-135.146
595,-134.675
596,-134.205
597,-133.735
598,-133.266
599,-132.797
600,-132.329
601,-131.862
602,-131.394
603,-130.928
604,-130.461
605,-129.996
606,-129.531
607,-129.066
608,-128.602
609,-128.138
610,-127.675
611,-127.212
612,-126.75
613,-126.288
614,-125.827
615,-125.366
616,-124.906
617,-124.446
618,-123.987
619,-123.528
620,-123.069
621,-122.611
622,-122.154
623,-121.697
624,-121.24
625,-120.784
626,-120.329
627,-119.873
628,-119.419
629,-118.964
630,-118.511
631,-118.057
632,-117.604
633,-117.152
634,-116.7
635,-116.248
636,-115.797
637,-115.346
638,-114.896
