i,lookup[i]
0,-6467.73
1,-6456.17
2,-6444.63
3,-6433.12
4,-6421.63
5,-6410.17
6,-6398.72
7,-6387.31
8,-6375.91
9,-6364.54
10,-6353.19
11,-6341.86
12,-6330.56
13,-6319.28
14,-6308.03
15,-6296.79
16,-6285.58
17,-6274.39
18,-6263.23
19,-6252.09
20,-6240.97
21,-6229.87
22,-6218.79
23,-6207.74
24,-6196.71
25,-6185.7
26,-6174.72
27,-6163.76
28,-6152.81
29,-6141.9
30,-6131
31,-6120.12
32,-6109.27
33,-6098.44
34,-6087.63
35,-6076.84
36,-6066.08
37,-6055.34
38,-6044.61
39,-6033.91
40,-6023.23
41,-6012.57
42,-6001.94
43,-5991.32
44,-5980.73
45,-5970.16
46,-5959.61
47,-5949.07
48,-5938.57
49,-5928.08
50,-5917.61
51,-5907.16
52,-5896.74
53,-5886.33
54,-5875.95
55,-5865.58
56,-5855.24
57,-5844.92
58,-5834.62
59,-5824.34
60,-5814.08
61,-5803.83
62,-5793.61
63,-5783.41
64,-5773.23
65,-5763.07
66,-5752.94
67,-5742.82
68,-5732.72
69,-5722.64
70,-5712.58
71,-5702.54
72,-5692.52
73,-5682.52
74,-5672.54
75,-5662.57
76,-5652.63
77,-5642.71
78,-5632.81
79,-5622.93
80,-5613.06
81,-5603.22
82,-5593.39
83,-5583.59
84,-5573.8
85,-5564.03
86,-5554.28
87,-5544.55
88,-5534.84
89,-5525.15
90,-5515.48
91,-5505.82
92,-5496.19
93,-5486.57
94,-5476.98
95,-5467.4
96,-5457.84
97,-5448.29
98,-5438.77
99,-5429.27
100,-5419.78
101,-5410.31
102,-5400.86
103,-5391.43
104,-5382.02
105,-5372.62
106,-5363.24
107,-5353.88
108,-5344.54
109,-5335.22
110,-5325.91
111,-5316.63
112,-5307.36
113,-5298.1
114,-5288.87
115,-5279.65
116,-5270.46
117,-5261.27
118,-5252.11
119,-5242.96
120,-5233.84
121,-5224.72
122,-5215.63
123,-5206.55
124,-5197.49
125,-5188.45
126,-5179.43
127,-5170.42
128,-5161.43
129,-5152.46
130,-5143.5
131,-5134.56
132,-5125.64
133,-5116.73
134,-5107.84
135,-5098.97
136,-5090.11
137,-5081.28
138,-5072.45
139,-5063.65
140,-5054.86
141,-5046.09
142,-5037.33
143,-5028.59
144,-5019.87
145,-5011.16
146,-5002.47
147,-4993.8
148,-4985.14
149,-4976.5
150,-4967.87
151,-4959.26
152,-4950.67
153,-4942.09
154,-4933.53
155,-4924.98
156,-4916.45
157,-4907.94
158,-4899.44
159,-4890.96
160,-4882.49
161,-4874.04
162,-4865.61
163,-4857.19
164,-4848.78
165,-4840.39
166,-4832.02
167,-4823.66
168,-4815.32
169,-4806.99
170,-4798.68
171,-4790.39
172,-4782.11
173,-4773.84
