i,lookup[i]
0,-39.632
1,-39.4887
2,-39.3455
3,-39.2025
4,-39.0597
5,-38.9171
6,-38.7746
7,-38.6324
8,-38.4903
9,-38.3484
10,-38.2067
11,-38.0651
12,-37.9238
13,-37.7826
14,-37.6416
15,-37.5008
16,-37.3601
17,-37.2196
18,-37.0793
19,-36.9392
20,-36.7992
21,-36.6594
22,-36.5198
23,-36.3804
24,-36.2411
25,-36.102
26,-35.963
27,-35.8242
28,-35.6856
29,-35.5472
30,-35.4089
31,-35.2708
32,-35.1328
33,-34.995
34,-34.8574
35,-34.7199
36,-34.5826
37,-34.4454
38,-34.3084
39,-34.1716
40,-34.0349
41,-33.8984
42,-33.762
43,-33.6258
44,-33.4898
45,-33.3539
46,-33.2181
47,-33.0825
48,-32.9471
49,-32.8118
50,-32.6767
51,-32.5417
52,-32.4068
53,-32.2722
54,-32.1376
55,-32.0032
56,-31.869
57,-31.7349
58,-31.6009
59,-31.4671
60,-31.3334
61,-31.1999
62,-31.0665
63,-30.9333
64,-30.8002
65,-30.6672
66,-30.5344
67,-30.4017
68,-30.2691
69,-30.1367
70,-30.0045
71,-29.8723
72,-29.7403
73,-29.6085
74,-29.4767
75,-29.3452
76,-29.2137
77,-29.0824
78,-28.9512
79,-28.8201
80,-28.6892
81,-28.5584
82,-28.4277
83,-28.2971
84,-28.1667
85,-28.0364
86,-27.9063
87,-27.7762
88,-27.6463
89,-27.5165
90,-27.3868
91,-27.2573
92,-27.1279
93,-26.9986
94,-26.8694
95,-26.7404
96,-26.6114
97,-26.4826
98,-26.3539
99,-26.2253
100,-26.0969
101,-25.9685
102,-25.8403
103,-25.7122
104,-25.5842
105,-25.4563
106,-25.3285
107,-25.2009
108,-25.0733
109,-24.9459
110,-24.8186
111,-24.6914
112,-24.5643
113,-24.4373
114,-24.3104
115,-24.1836
116,-24.057
117,-23.9304
118,-23.804
119,-23.6776
120,-23.5514
121,-23.4252
122,-23.2992
123,-23.1733
124,-23.0474
125,-22.9217
126,-22.7961
127,-22.6706
128,-22.5452
129,-22.4198
130,-22.2946
131,-22.1695
132,-22.0445
133,-21.9195
134,-21.7947
135,-21.67
136,-21.5453
137,-21.4208
138,-21.2963
139,-21.172
140,-21.0477
141,-20.9236
142,-20.7995
143,-20.6755
144,-20.5516
145,-20.4278
146,-20.3041
147,-20.1805
148,-20.0569
149,-19.9335
150,-19.8101
151,-19.6868
152,-19.5636
153,-19.4405
154,-19.3175
155,-19.1946
156,-19.0717
157,-18.949
158,-18.8263
159,-18.7037
160,-18.5811
161,-18.4587
162,-18.3363
163,-18.2141
164,-18.0919
165,-17.9697
166,-17.8477
167,-17.7257
168,-17.6038
169,-17.482
170,-17.3603
171,-17.2386
172,-17.117
173,-16.9955
174,-16.8741
175,-16.7527
176,-16.6314
177,-16.5102
178,-16.389
179,-16.268
180,-16.147
181,-16.026
182,-15.9051
183,-15.7843
184,-15.6636
185,-15.5429
186,-15.4223
187,-15.3018
188,-15.1813
189,-15.0609
190,-14.9406
191,-14.8203
192,-14.7001
193,-14.58
194,-14.4599
195,-14.3399
196,-14.2199
197,-14.1
198,-13.9802
199,-13.8604
200,-13.7407
201,-13.621
202,-13.5014
203,-13.3818
204,-13.2624
205,-13.1429
206,-13.0235
207,-12.9042
208,-12.785
209,-12.6657
210,-12.5466
211,-12.4275
212,-12.3084
213,-12.1894
214,-12.0705
215,-11.9516
216,-11.8327
217,-11.714
218,-11.5952
219,-11.4765
220,-11.3579
221,-11.2393
222,-11.1207
223,-11.0022
224,-10.8837
225,-10.7653
226,-10.647
227,-10.5286
228,-10.4104
229,-10.2921
230,-10.1739
231,-10.0558
232,-9.93769
233,-9.81963
234,-9.7016
235,-9.58362
236,-9.46568
237,-9.34778
238,-9.22992
239,-9.11209
240,-8.99431
241,-8.87656
242,-8.75885
243,-8.64118
244,-8.52354
245,-8.40594
246,-8.28837
247,-8.17084
248,-8.05334
249,-7.93588
250,-7.81845
251,-7.70105
252,-7.58368
253,-7.46635
254,-7.34905
255,-7.23177
256,-7.11453
257,-6.99732
258,-6.88013
259,-6.76298
260,-6.64585
261,-6.52875
262,-6.41168
263,-6.29463
264,-6.17761
265,-6.06062
266,-5.94365
267,-5.8267
268,-5.70978
269,-5.59288
270,-5.47601
271,-5.35916
272,-5.24233
273,-5.12552
274,-5.00873
275,-4.89197
276,-4.77522
277,-4.6585
278,-4.54179
279,-4.4251
280,-4.30843
281,-4.19178
282,-4.07514
283,-3.95852
284,-3.84192
285,-3.72534
286,-3.60877
287,-3.49221
288,-3.37567
289,-3.25914
290,-3.14262
291,-3.02612
292,-2.90963
293,-2.79315
294,-2.67669
295,-2.56023
296,-2.44379
297,-2.32735
298,-2.21093
299,-2.09451
300,-1.9781
301,-1.8617
302,-1.74531
303,-1.62892
304,-1.51254
305,-1.39617
306,-1.2798
307,-1.16344
308,-1.04708
309,-0.93073
310,-0.814381
311,-0.698035
312,-0.581691
313,-0.46535
314,-0.349011
315,-0.232673
316,-0.116336
317,0
318,0.116336
319,0.232673
320,0.349011
321,0.46535
322,0.581691
323,0.698035
324,0.814381
325,0.93073
326,1.04708
327,1.16344
328,1.2798
329,1.39617
330,1.51254
331,1.62892
332,1.74531
333,1.8617
334,1.9781
335,2.09451
336,2.21093
337,2.32735
338,2.44379
339,2.56023
340,2.67669
341,2.79315
342,2.90963
343,3.02612
344,3.14262
345,3.25914
346,3.37567
347,3.49221
348,3.60877
349,3.72534
350,3.84192
351,3.95852
352,4.07514
353,4.19178
354,4.30843
355,4.4251
356,4.54179
357,4.6585
358,4.77522
359,4.89197
360,5.00873
361,5.12552
362,5.24233
363,5.35916
364,5.47601
365,5.59288
366,5.70978
367,5.8267
368,5.94365
369,6.06062
370,6.17761
371,6.29463
