i,lookup[i]
0,-28586
1,-28511.2
2,-28436.7
3,-28362.4
4,-28288.4
5,-28214.5
6,-28140.8
7,-28067.4
8,-27994.2
9,-27921.1
10,-27848.3
11,-27775.7
12,-27703.3
13,-27631.1
14,-27559.1
15,-27487.3
16,-27415.8
17,-27344.4
18,-27273.2
19,-27202.2
20,-27131.5
21,-27060.9
22,-26990.6
23,-26920.4
24,-26850.4
25,-26780.7
26,-26711.1
27,-26641.8
28,-26572.6
29,-26503.6
30,-26434.9
31,-26366.3
32,-26297.9
33,-26229.7
34,-26161.8
35,-26094
36,-26026.4
37,-25959
38,-25891.7
39,-25824.7
40,-25757.9
41,-25691.3
42,-25624.8
43,-25558.5
44,-25492.5
45,-25426.6
46,-25360.9
47,-25295.4
48,-25230.1
49,-25164.9
50,-25100
51,-25035.2
52,-24970.6
53,-24906.2
54,-24842
55,-24778
56,-24714.1
57,-24650.5
58,-24587
59,-24523.7
60,-24460.6
61,-24397.6
62,-24334.9
63,-24272.3
64,-24209.9
65,-24147.6
66,-24085.6
67,-24023.7
68,-23962
69,-23900.5
70,-23839.1
71,-23778
72,-23717
73,-23656.1
74,-23595.5
75,-23535
76,-23474.7
77,-23414.5
78,-23354.6
79,-23294.8
80,-23235.2
81,-23175.7
82,-23116.4
83,-23057.3
84,-22998.3
85,-22939.5
86,-22880.9
87,-22822.5
88,-22764.2
89,-22706.1
90,-22648.1
91,-22590.3
92,-22532.7
93,-22475.2
94,-22417.9
95,-22360.8
96,-22303.8
97,-22247
98,-22190.3
99,-22133.9
100,-22077.5
101,-22021.3
102,-21965.3
103,-21909.5
104,-21853.8
105,-21798.2
106,-21742.9
107,-21687.6
108,-21632.6
109,-21577.7
110,-21522.9
111,-21468.3
112,-21413.9
113,-21359.6
114,-21305.4
115,-21251.4
116,-21197.6
117,-21143.9
118,-21090.4
119,-21037
120,-20983.8
121,-20930.7
122,-20877.8
123,-20825
124,-20772.4
125,-20719.9
126,-20667.6
127,-20615.4
128,-20563.4
129,-20511.5
130,-20459.7
131,-20408.1
132,-20356.7
133,-20305.4
134,-20254.2
135,-20203.2
136,-20152.3
137,-20101.6
138,-20051
139,-20000.6
140,-19950.3
141,-19900.1
142,-19850.1
143,-19800.3
144,-19750.5
145,-19700.9
146,-19651.5
147,-19602.2
148,-19553
149,-19503.9
150,-19455.1
151,-19406.3
152,-19357.7
153,-19309.2
154,-19260.8
155,-19212.6
156,-19164.5
157,-19116.6
158,-19068.8
159,-19021.1
160,-18973.6
161,-18926.2
162,-18878.9
163,-18831.8
164,-18784.8
165,-18737.9
166,-18691.2
167,-18644.5
168,-18598.1
169,-18551.7
170,-18505.5
171,-18459.4
172,-18413.5
173,-18367.6
174,-18321.9
175,-18276.4
176,-18230.9
177,-18185.6
178,-18140.4
179,-18095.3
180,-18050.4
181,-18005.6
182,-17960.9
183,-17916.4
184,-17871.9
185,-17827.6
186,-17783.4
187,-17739.4
188,-17695.4
189,-17651.6
190,-17607.9
191,-17564.4
